"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2024","76.36","75.98","76.50","75.77","","0.41%"
"08/21/2024","76.05","77.13","78.21","75.65","32332K","-1.49%"
"08/20/2024","77.20","77.66","78.35","76.55","36714K","-0.59%"
"08/19/2024","77.66","79.60","79.81","77.48","36654K","-2.54%"
"08/16/2024","79.68","80.86","81.02","78.62","32091K","-1.68%"
"08/15/2024","81.04","79.96","81.43","79.61","27093K","1.60%"
"08/14/2024","79.76","81.00","81.44","79.60","35913K","-1.15%"
"08/13/2024","80.69","81.88","82.30","80.55","35646K","-1.96%"
"08/12/2024","82.30","79.56","82.40","79.46","32838K","3.31%"
"08/09/2024","79.66","79.03","79.83","78.77","21307K","0.63%"
"08/08/2024","79.16","78.55","79.37","77.63","32008K","1.06%"
"08/07/2024","78.33","76.16","78.87","75.95","44474K","2.42%"
"08/06/2024","76.48","77.45","77.85","75.58","39303K","0.24%"
"08/05/2024","76.30","77.61","77.74","75.05","55781K","-0.66%"
"08/02/2024","76.81","79.98","80.46","76.42","50131K","-3.41%"
"08/01/2024","79.52","81.44","81.80","79.43","36493K","-1.49%"
"07/31/2024","80.72","79.02","80.95","79.02","12.9K","2.66%"
"07/30/2024","78.63","79.64","79.99","78.43","87.8K","-1.44%"
"07/29/2024","79.78","81.30","81.74","79.36","13225K","-1.66%"
"07/26/2024","81.13","82.40","82.71","80.33","20495K","-1.51%"
"07/25/2024","82.37","81.58","82.53","80.09","33216K","0.81%"
"07/24/2024","81.71","81.46","82.23","80.93","29820K","0.86%"
"07/23/2024","81.01","82.25","82.79","80.51","38432K","-1.69%"
"07/22/2024","82.40","82.80","83.22","81.60","34172K","-0.28%"
"07/19/2024","82.63","84.72","85.35","82.56","36234K","-2.91%"
"07/18/2024","85.11","85.23","85.81","84.22","36832K","0.04%"
"07/17/2024","85.08","83.66","85.20","83.43","32540K","1.61%"
"07/16/2024","83.73","84.78","84.86","83.30","32785K","-1.32%"
"07/15/2024","84.85","85.10","85.37","84.42","22927K","-0.21%"
"07/12/2024","85.03","85.69","86.35","84.95","36393K","-0.43%"
"07/11/2024","85.40","85.45","85.89","84.64","33670K","0.38%"
"07/10/2024","85.08","84.92","85.66","84.00","40156K","0.50%"
"07/09/2024","84.66","85.67","85.85","84.53","35429K","-1.27%"
"07/08/2024","85.75","86.74","86.92","85.56","30358K","-0.91%"
"07/05/2024","86.54","87.45","87.95","86.49","26530K","-1.02%"
"07/04/2024","87.43","87.09","87.59","86.51","17904K","0.10%"
"07/03/2024","87.34","86.44","87.39","85.89","33482K","1.28%"
"07/02/2024","86.24","86.71","87.46","86.16","42915K","-0.42%"
"07/01/2024","86.60","84.90","86.88","84.85","40136K","0.22%"
"06/28/2024","86.41","86.56","87.22","86.24","20.4K","0.02%"
"06/27/2024","86.39","85.01","86.50","84.88","11999K","1.34%"
"06/26/2024","85.25","84.89","85.81","84.47","14286K","0.28%"
"06/25/2024","85.01","86.06","86.23","84.74","19750K","-1.16%"
"06/24/2024","86.01","84.99","86.16","84.71","17976K","0.90%"
"06/21/2024","85.24","85.66","86.24","84.84","24012K","-0.55%"
"06/20/2024","85.71","85.19","85.96","84.95","25646K","0.75%"
"06/19/2024","85.07","85.40","85.84","84.90","25183K","-0.30%"
"06/18/2024","85.33","84.31","85.49","83.67","40224K","1.28%"
"06/17/2024","84.25","82.61","84.55","82.10","35972K","2.64%"
"06/14/2024","82.08","81.71","82.92","81.55","30891K","-0.27%"
"06/13/2024","82.30","81.96","82.60","81.40","27964K","0.18%"
"06/12/2024","82.15","81.75","82.90","81.57","26033K","0.75%"
"06/11/2024","81.54","81.46","81.96","80.85","25922K","0.38%"
"06/10/2024","81.23","79.18","81.73","79.08","23825K","2.38%"
"06/07/2024","79.34","79.66","80.02","79.05","20117K","-0.20%"
"06/06/2024","79.50","78.30","79.68","78.06","28144K","1.87%"
"06/05/2024","78.04","77.08","78.28","76.94","25785K","1.00%"
"06/04/2024","77.27","78.02","78.08","76.66","34639K","-1.21%"
"06/03/2024","78.22","80.92","81.40","77.94","31747K","-4.17%"
"05/31/2024","81.62","81.74","82.18","81.17","17.9K","-0.29%"
"05/30/2024","81.86","83.51","83.77","81.80","10541K","-2.08%"
"05/29/2024","83.60","84.61","85.02","83.29","12727K","-0.74%"
"05/28/2024","84.22","83.00","84.62","83.00","18426K","1.35%"
"05/27/2024","83.10","82.20","83.20","82.08","56.1K","1.19%"
"05/24/2024","82.12","81.40","82.46","80.65","18064K","0.93%"
"05/23/2024","81.36","81.59","82.97","80.93","32241K","-0.66%"
"05/22/2024","81.90","82.58","82.63","81.57","34760K","-1.18%"
