date,open,high,low,close,change,volume
2023-01-03,85.96,87.00,81.78,82.10,-4.43%,30286K
2023-01-04,82.31,82.72,77.72,77.84,-5.19%,31931K
2023-01-05,78.16,79.97,77.61,78.69,1.09%,25958K
2023-01-06,78.80,80.59,78.05,78.57,-0.15%,21542K
2023-01-09,78.42,81.37,78.42,79.65,1.37%,24512K
2023-01-10,79.54,80.89,78.81,80.10,0.56%,24435K
2023-01-11,79.52,83.00,79.31,82.67,3.21%,27379K
2023-01-12,82.88,84.62,82.37,84.03,1.65%,26407K
2023-01-13,83.91,85.50,83.50,85.28,1.49%,21740K
2023-01-16,85.36,85.59,83.83,84.46,-0.96%,12596K
2023-01-17,84.20,86.82,84.04,85.92,1.73%,23830K
2023-01-18,86.45,87.85,84.36,84.98,-1.09%,28815K
2023-01-19,84.34,86.85,83.76,86.16,1.39%,25096K
2023-01-20,86.42,87.79,85.58,87.63,1.71%,21292K
2023-01-23,87.70,89.09,86.92,88.19,0.64%,19241K
2023-01-24,88.07,88.71,85.80,86.13,-2.34%,20775K
2023-01-25,86.28,87.00,85.41,86.12,-0.01%,15947K
2023-01-26,86.35,88.01,85.74,87.47,1.57%,13910K
2023-01-27,87.65,88.95,85.69,86.66,-0.93%,10708K
2023-01-30,86.88,87.48,84.66,84.90,-2.03%,65.5K
2023-01-31,85.18,85.25,83.73,84.49,-0.48%,11.9K
2023-02-01,85.56,86.21,82.37,82.84,-1.95%,34866K
2023-02-02,83.34,83.61,81.25,82.17,-0.81%,28709K
2023-02-03,82.27,84.20,79.62,79.94,-2.71%,33032K
2023-02-06,79.61,81.43,79.10,80.99,1.31%,32521K
2023-02-07,81.26,84.13,81.19,83.69,3.33%,29098K
2023-02-08,84.11,85.15,83.51,85.09,1.67%,25414K
2023-02-09,84.96,85.50,83.05,84.50,-0.69%,26073K
2023-02-10,84.22,86.90,83.93,86.39,2.24%,29734K
2023-02-13,86.51,86.95,85.10,86.61,0.25%,20762K
2023-02-14,85.83,86.42,84.13,85.58,-1.19%,23163K
2023-02-15,85.20,85.85,83.88,85.38,-0.23%,24598K
2023-02-16,85.27,86.21,84.60,85.14,-0.28%,19702K
2023-02-17,84.60,84.87,81.80,83.00,-2.51%,30366K
2023-02-20,83.15,84.30,82.73,84.07,1.29%,14385K
2023-02-21,83.86,84.20,82.56,83.05,-1.21%,23163K
2023-02-22,82.50,82.96,80.30,80.45,-3.13%,29726K
2023-02-23,80.31,82.46,80.25,81.95,1.86%,29333K
2023-02-24,82.33,83.09,80.75,82.82,1.06%,28976K
2023-02-27,83.19,83.60,81.73,82.45,-0.45%,58.5K
2023-02-28,82.30,84.15,82.19,83.89,1.75%,12.0K
2023-03-01,83.05,84.49,82.61,84.31,0.50%,24266K
2023-03-02,84.31,85.10,83.83,84.75,0.52%,21422K
2023-03-03,84.61,86.00,82.36,85.83,1.27%,31290K
2023-03-06,85.83,86.35,84.34,86.18,0.41%,24434K
2023-03-07,86.23,86.75,82.83,83.29,-3.35%,29519K
2023-03-08,83.03,83.59,82.06,82.66,-0.76%,29709K
2023-03-09,82.55,84.00,81.42,81.59,-1.29%,28256K
2023-03-10,81.47,83.11,80.73,82.78,1.46%,36928K
2023-03-13,82.60,83.48,78.34,80.77,-2.43%,46728K
