date,close,open,high,low,volume,change
"07/19/2024","79.65","81.81","82.38","79.59","","-2.66%"
"07/18/2024","81.83","82.75","83.36","81.68","","-1.15%"
"07/17/2024","82.78","80.75","82.80","80.53","","2.49%"
"07/16/2024","80.77","81.89","81.94","80.33","","-1.37%"
"07/15/2024","81.89","82.36","82.59","81.56","","-0.55%"
"07/14/2024","82.34","82.31","82.66","82.31","","0.01%"
"07/12/2024","82.33","83.19","83.87","82.24","","-0.97%"
"07/11/2024","83.14","82.61","83.27","81.79","","0.65%"
"07/10/2024","82.60","81.86","82.81","80.95","","0.93%"
"07/09/2024","81.84","82.42","82.64","81.42","","-0.69%"
"07/08/2024","82.41","83.36","83.38","82.27","","-1.16%"
"07/07/2024","83.38","83.36","83.50","83.02","","-0.24%"
"07/05/2024","83.58","84.17","84.75","83.31","","-0.69%"
"07/04/2024","84.16","83.84","84.43","83.25","","0.36%"
"07/03/2024","83.86","83.25","84.17","82.71","","0.71%"
"07/02/2024","83.27","83.66","84.64","82.98","","-0.48%"
"07/01/2024","83.67","81.98","83.88","81.88","","2.05%"
"06/30/2024","81.99","81.70","82.10","81.69","","0.22%"
"06/28/2024","81.81","82.16","83.02","81.28","","-0.46%"
"06/27/2024","82.19","80.97","82.36","80.83","","1.54%"
"06/26/2024","80.94","81.06","81.96","80.52","","-0.15%"
"06/25/2024","81.06","82.06","82.22","80.89","","-1.18%"
"06/24/2024","82.03","80.58","82.19","80.58","","1.79%"
"06/23/2024","80.59","80.86","81.05","80.58","","-0.46%"
"06/21/2024","80.96","81.58","82.16","80.73","","-0.83%"
"06/20/2024","81.64","81.00","81.91","80.80","","0.82%"
"06/19/2024","80.98","81.15","81.56","80.72","","-0.25%"
"06/18/2024","81.18","80.28","81.26","79.58","","1.23%"
"06/17/2024","80.19","78.31","80.43","78.02","","2.44%"
"06/16/2024","78.28","78.44","78.54","78.28","","-0.32%"
"06/14/2024","78.53","78.00","79.25","77.88","","0.72%"
"06/13/2024","77.97","78.39","78.98","77.78","","-0.54%"
"06/12/2024","78.39","78.23","79.44","78.01","","0.18%"
"06/11/2024","78.25","78.20","78.48","77.36","","0.08%"
"06/10/2024","78.19","75.47","78.43","75.44","","3.56%"
"06/09/2024","75.50","75.39","75.64","75.39","","-0.12%"
"06/07/2024","75.59","75.89","76.42","75.39","","-0.38%"
"06/06/2024","75.88","74.64","75.97","74.25","","1.69%"
"06/05/2024","74.62","73.17","74.64","73.06","","1.98%"
"06/04/2024","73.17","74.25","74.31","72.69","","-1.49%"
"06/03/2024","74.28","77.00","77.75","74.05","","-3.53%"
"06/02/2024","77.00","77.17","77.31","76.64","","-0.57%"
"05/31/2024","77.44","78.00","78.89","76.94","","-0.76%"
"05/30/2024","78.03","79.52","79.69","77.92","","-1.89%"
"05/29/2024","79.53","80.55","80.92","79.30","","-1.27%"
"05/28/2024","80.55","78.94","80.62","78.94","","2.03%"
"05/27/2024","78.95","78.17","79.12","78.06","","1.01%"
"05/26/2024","78.16","78.14","78.17","78.03","","-0.03%"
"05/24/2024","78.18","77.19","78.40","76.52","","1.24%"
"05/23/2024","77.22","77.53","79.04","76.81","","-0.40%"
"05/22/2024","77.53","78.71","78.80","77.47","","-1.47%"
"05/21/2024","78.69","79.69","79.70","78.06","","-1.25%"
"05/20/2024","79.69","79.81","80.53","79.12","","-0.11%"
"05/19/2024","79.78","79.97","80.14","79.77","","-0.25%"
"05/17/2024","79.98","79.37","80.12","79.06","","0.74%"
"05/16/2024","79.39","78.97","79.78","78.22","","0.56%"
"05/15/2024","78.95","78.47","78.97","76.84","","0.60%"
"05/14/2024","78.48","79.27","79.50","77.84","","-0.97%"
"05/13/2024","79.25","78.23","79.63","77.92","","1.32%"
"05/12/2024","78.22","78.25","78.30","78.12","","-0.20%"
"05/10/2024","78.38","79.86","80.17","78.34","","-1.83%"
"05/09/2024","79.84","79.47","80.00","79.14","","0.47%"
"05/08/2024","79.47","78.53","79.48","77.12","","1.20%"
"05/07/2024","78.53","79.14","79.30","77.81","","-0.73%"
"05/06/2024","79.11","78.62","79.34","78.20","","0.60%"
"05/05/2024","78.64","78.44","78.84","78.33","","0.45%"
"05/03/2024","78.29","79.56","79.92","78.26","","-1.56%"
"05/02/2024","79.53","79.45","80.22","78.73","","0.11%"
"05/01/2024","79.44","81.72","81.92","79.17","","-2.75%"
"04/30/2024","81.69","82.97","83.67","81.32","","-1.55%"
"04/29/2024","82.98","83.61","84.31","82.77","","-0.75%"
"04/28/2024","83.61","84.00","84.02","83.60","","-0.63%"
"04/26/2024","84.14","84.22","84.91","83.80","","-0.07%"
"04/25/2024","84.20","83.11","84.29","82.46","","1.25%"
"04/24/2024","83.16","83.91","84.16","82.91","","-0.91%"
"04/23/2024","83.92","82.61","84.02","81.37","","1.62%"
"04/22/2024","82.58","82.42","82.78","81.22","","0.17%"
"04/21/2024","82.44","82.34","82.61","82.34","","-0.30%"
"04/19/2024","82.69","82.62","86.19","81.72","","0.12%"
"04/18/2024","82.59","82.84","83.42","81.64","","-0.33%"
"04/17/2024","82.86","85.53","85.58","82.61","","-3.12%"
"04/16/2024","85.53","85.89","86.23","84.86","","-0.38%"
"04/15/2024","85.86","85.70","86.08","84.16","","0.20%"
"04/14/2024","85.69","86.12","86.12","85.32","","0.11%"
"04/12/2024","85.60","85.62","87.77","85.47","","-0.01%"
"04/11/2024","85.61","86.39","86.78","85.00","","-0.93%"
"04/10/2024","86.41","85.50","86.54","84.73","","1.10%"
"04/09/2024","85.47","86.83","87.16","85.28","","-1.57%"
"04/08/2024","86.83","86.06","87.30","84.89","","0.87%"
"04/07/2024","86.08","86.38","86.38","86.00","","-1.01%"
"04/05/2024","86.96","87.22","87.85","86.56","","-0.30%"
"04/04/2024","87.22","85.84","87.46","84.89","","1.64%"
"04/03/2024","85.81","85.73","86.45","85.11","","0.07%"
"04/02/2024","85.75","84.12","85.86","84.12","","1.91%"
"04/01/2024","84.14","83.47","84.76","82.89","","0.83%"
"03/31/2024","83.45","83.48","83.62","83.33","","0.01%"
"03/28/2024","83.44","82.06","83.53","81.83","","1.69%"
"03/27/2024","82.05","81.61","82.08","80.88","","0.54%"
"03/26/2024","81.61","82.36","82.67","81.50","","-0.93%"
"03/25/2024","82.38","81.22","82.83","81.08","","1.42%"
"03/24/2024","81.23","80.95","81.28","80.95","","0.05%"
"03/22/2024","81.19","81.32","81.83","80.80","","-0.18%"
"03/21/2024","81.34","82.00","82.31","80.71","","-0.84%"
"03/20/2024","82.03","82.89","83.06","81.25","","-1.03%"
"03/19/2024","82.88","82.66","83.55","82.25","","0.31%"
"03/18/2024","82.62","81.03","82.94","81.00","","1.96%"
"03/17/2024","81.03","81.19","81.19","81.03","","0.00%"
"03/15/2024","81.03","80.95","81.36","80.48","","0.07%"
"03/14/2024","80.97","79.78","81.50","79.69","","1.53%"
"03/13/2024","79.75","78.06","79.94","77.67","","2.17%"
"03/12/2024","78.06","78.17","78.77","77.42","","-0.13%"
"03/11/2024","78.16","77.88","78.54","76.87","","0.35%"
"03/10/2024","77.89","77.92","77.95","77.75","","-0.05%"
"03/08/2024","77.93","79.33","80.09","77.66","","-1.74%"
"03/07/2024","79.31","79.16","79.63","78.13","","0.18%"
"03/06/2024","79.17","78.33","80.78","78.11","","1.06%"
"03/05/2024","78.34","78.81","79.59","77.64","","-0.60%"
"03/04/2024","78.81","80.09","80.53","78.69","","-1.56%"
"03/03/2024","80.06","80.19","80.47","79.98","","0.13%"
"03/01/2024","79.96","78.42","81.00","78.20","","1.98%"
"02/29/2024","78.41","78.29","79.42","78.10","","0.14%"
"02/28/2024","78.30","78.56","79.77","77.95","","-0.36%"
"02/27/2024","78.58","77.81","79.13","77.34","","0.99%"
"02/26/2024","77.81","76.59","78.20","76.03","","1.57%"
"02/25/2024","76.61","76.67","76.83","76.59","","-0.25%"
"02/23/2024","76.80","78.44","78.58","76.55","","-2.10%"
"02/22/2024","78.45","78.30","79.12","77.44","","0.18%"
"02/21/2024","78.31","77.45","78.33","76.55","","1.12%"
"02/20/2024","77.44","78.31","78.77","77.06","","-1.14%"
"02/19/2024","78.33","78.06","78.78","77.86","","-0.18%"
"02/16/2024","78.47","77.91","78.76","76.94","","0.74%"
"02/15/2024","77.89","76.50","78.33","75.78","","1.82%"
"02/14/2024","76.50","77.66","78.70","76.38","","-1.51%"
"02/13/2024","77.67","76.92","78.44","76.84","","0.95%"
"02/12/2024","76.94","76.41","77.05","75.50","","0.72%"
"02/11/2024","76.39","76.53","76.53","76.14","","-0.21%"
"02/09/2024","76.55","76.38","77.22","75.89","","0.21%"
"02/08/2024","76.39","73.92","76.53","73.52","","3.34%"
"02/07/2024","73.92","73.38","74.14","73.17","","0.76%"
"02/06/2024","73.36","72.62","73.72","72.32","","1.05%"
"02/05/2024","72.60","72.70","73.20","71.34","","-0.14%"
"02/04/2024","72.70","72.63","72.90","72.63","","0.58%"
"02/02/2024","72.28","74.17","74.41","71.75","","-2.55%"
"02/01/2024","74.17","75.78","76.85","73.62","","-2.12%"
"01/31/2024","75.78","77.72","78.00","75.47","","-2.47%"
"01/30/2024","77.70","76.92","78.03","75.77","","1.01%"
