date,close,open,high,low,volume,change
"07/19/2024","2400.79","2445.34","2446.29","2393.92","","-1.81%"
"07/18/2024","2444.97","2460.13","2475.02","2440.41","","-0.55%"
"07/17/2024","2458.38","2476.22","2483.78","2451.60","","-0.41%"
"07/16/2024","2468.57","2424.80","2469.91","2423.54","","1.92%"
"07/15/2024","2422.07","2409.50","2439.74","2401.35","","0.45%"
"07/12/2024","2411.27","2416.47","2418.37","2391.52","","-0.15%"
"07/11/2024","2414.78","2371.58","2424.62","2370.83","","1.84%"
"07/10/2024","2371.07","2363.80","2386.75","2362.73","","0.32%"
"07/09/2024","2363.58","2358.60","2371.52","2349.59","","0.20%"
"07/08/2024","2358.80","2391.77","2391.85","2351.16","","-1.37%"
"07/05/2024","2391.46","2358.01","2393.04","2354.03","","1.50%"
"07/04/2024","2356.12","2353.70","2362.64","2350.76","","0.00%"
"07/03/2024","2356.06","2328.00","2365.06","2326.93","","1.15%"
"07/02/2024","2329.28","2332.05","2336.90","2319.24","","-0.10%"
"07/01/2024","2331.70","2326.46","2338.72","2318.55","","0.26%"
"06/28/2024","2325.71","2327.75","2339.79","2319.15","","-0.07%"
"06/27/2024","2327.45","2299.80","2331.00","2296.50","","1.29%"
"06/26/2024","2297.91","2320.00","2323.95","2293.70","","-0.91%"
"06/25/2024","2319.01","2333.25","2337.26","2315.56","","-0.60%"
"06/24/2024","2332.93","2321.60","2335.02","2317.37","","0.54%"
"06/21/2024","2320.34","2360.30","2368.85","2316.76","","-1.66%"
"06/20/2024","2359.63","2329.15","2365.52","2327.30","","1.38%"
"06/19/2024","2327.48","2329.79","2335.10","2323.84","","-0.04%"
"06/18/2024","2328.33","2319.38","2333.25","2306.63","","0.41%"
"06/17/2024","2318.87","2332.20","2333.48","2310.02","","-0.59%"
"06/14/2024","2332.52","2302.52","2336.87","2301.35","","1.27%"
"06/13/2024","2303.19","2325.70","2326.70","2295.68","","-0.83%"
"06/12/2024","2322.52","2315.53","2341.70","2310.80","","0.27%"
"06/11/2024","2316.27","2311.00","2320.17","2297.69","","0.25%"
"06/10/2024","2310.53","2296.00","2313.87","2287.31","","0.78%"
"06/07/2024","2292.71","2376.50","2387.85","2286.77","","-3.49%"
"06/06/2024","2375.61","2355.16","2378.57","2353.60","","0.88%"
"06/05/2024","2354.78","2328.00","2358.07","2325.88","","1.16%"
"06/04/2024","2327.68","2349.00","2351.76","2315.53","","-0.96%"
"06/03/2024","2350.35","2329.61","2354.82","2314.76","","1.00%"
"05/31/2024","2326.97","2345.07","2353.24","2323.96","","-0.68%"
"05/30/2024","2343.00","2339.67","2351.83","2322.72","","0.18%"
"05/29/2024","2338.77","2361.00","2362.86","2334.75","","-0.94%"
"05/28/2024","2360.95","2352.29","2364.12","2340.17","","0.43%"
"05/27/2024","2350.74","2334.50","2358.56","2332.36","","0.73%"
"05/24/2024","2333.76","2328.40","2347.54","2325.40","","0.23%"
"05/23/2024","2328.37","2378.60","2383.86","2327.00","","-2.10%"
"05/22/2024","2378.25","2423.75","2426.64","2374.98","","-1.79%"
"05/21/2024","2421.64","2426.84","2434.00","2406.32","","-0.14%"
"05/20/2024","2425.12","2415.02","2450.13","2407.34","","0.42%"
"05/17/2024","2414.89","2376.81","2422.87","2373.96","","1.62%"
"05/16/2024","2376.44","2386.42","2397.44","2371.01","","-0.40%"
"05/15/2024","2386.04","2358.20","2390.36","2351.82","","1.19%"
"05/14/2024","2357.97","2338.20","2359.83","2334.55","","0.83%"
"05/13/2024","2338.45","2360.38","2364.56","2332.38","","-0.92%"
"05/10/2024","2360.14","2346.26","2378.45","2345.25","","0.61%"
"05/09/2024","2345.88","2309.04","2347.59","2306.67","","1.60%"
"05/08/2024","2309.05","2315.40","2321.43","2303.74","","-0.27%"
"05/07/2024","2315.20","2326.31","2329.98","2310.10","","-0.47%"
"05/06/2024","2326.15","2293.98","2331.98","2291.91","","1.07%"
"05/03/2024","2301.56","2303.20","2321.64","2277.47","","-0.08%"
"05/02/2024","2303.29","2319.89","2326.57","2285.58","","-0.63%"
"05/01/2024","2317.88","2285.91","2328.40","2281.66","","1.46%"
"04/30/2024","2284.57","2335.10","2336.54","2284.94","","-2.14%"
"04/29/2024","2334.44","2337.50","2346.85","2320.08","","-0.14%"
"04/26/2024","2337.72","2332.16","2352.62","2326.30","","0.25%"
"04/25/2024","2331.78","2316.20","2344.86","2305.28","","0.69%"
"04/24/2024","2315.82","2322.19","2337.16","2311.90","","-0.26%"
"04/23/2024","2321.81","2326.62","2334.48","2291.40","","-0.19%"
