date,open,high,low,close,change,volume
2023-01-02,1823.85,1823.94,1823.85,1823.69,-0.04%,0
2023-01-03,1826.14,1850.69,1824.42,1839.49,0.87%,0
2023-01-04,1839.51,1865.49,1835.92,1854.09,0.79%,0
2023-01-05,1854.19,1859.36,1824.68,1833.19,-1.13%,0
2023-01-06,1833.27,1870.37,1830.53,1865.71,1.77%,0
2023-01-09,1865.45,1881.80,1864.59,1871.59,0.32%,0
2023-01-10,1871.66,1881.04,1867.37,1877.27,0.30%,0
2023-01-11,1877.30,1887.09,1866.75,1876.38,-0.05%,0
2023-01-12,1876.43,1901.88,1873.64,1896.86,1.09%,0
2023-01-13,1897.03,1922.24,1891.80,1920.21,1.23%,0
2023-01-16,1920.39,1929.24,1910.74,1918.00,-0.12%,0
2023-01-17,1917.81,1919.83,1903.51,1908.39,-0.50%,0
2023-01-18,1908.46,1926.30,1896.56,1903.76,-0.24%,0
2023-01-19,1903.83,1935.40,1900.48,1931.39,1.45%,0
2023-01-20,1931.48,1937.72,1920.58,1926.57,-0.25%,0
2023-01-23,1926.20,1935.69,1911.44,1931.30,0.25%,0
2023-01-24,1931.35,1942.93,1916.82,1937.45,0.32%,0
2023-01-25,1937.54,1948.12,1919.88,1945.93,0.44%,0
2023-01-26,1946.09,1949.27,1918.74,1928.99,-0.87%,0
2023-01-27,1929.40,1935.15,1916.65,1927.34,-0.09%,0
2023-01-30,1928.40,1934.61,1920.58,1922.52,-0.25%,0
2023-01-31,1922.82,1931.15,1900.74,1927.88,0.28%,0
2023-02-01,1927.92,1954.63,1920.56,1950.42,1.17%,0
2023-02-02,1950.54,1959.77,1911.33,1912.37,-1.95%,0
2023-02-03,1912.57,1918.72,1861.41,1865.53,-2.45%,0
2023-02-06,1865.17,1881.54,1860.39,1867.36,0.10%,0
2023-02-07,1867.39,1884.45,1864.94,1873.81,0.35%,0
2023-02-08,1874.05,1886.28,1867.40,1875.59,0.09%,0
2023-02-09,1875.64,1890.69,1858.89,1861.39,-0.76%,0
2023-02-10,1861.68,1872.31,1852.69,1864.67,0.18%,0
2023-02-13,1865.69,1866.83,1850.42,1853.39,-0.60%,0
