date,open,high,low,close,adjusted_close,volume
2024-02-12,289.97,294.6,288.86,294.43,288.08,3298500
2024-02-13,294.61,295.52,286.89,290.48,284.2152,3610100
2024-02-14,289.88,290.87,287.55,290.07,283.814,2617300
2024-02-15,287.88,290.35,285.6,289.07,285.0466,2902000
2024-02-16,287.71,287.71,283.27,283.7,279.7513,3595700
2024-02-20,283.85,285.3,280.55,283.51,279.564,3402000
2024-02-21,284.84,285.78,280.8,283.46,279.5147,1934300
2024-02-22,282.48,285.72,281.3,285.18,281.2107,2992700
2024-02-23,286.52,292.24,286.01,289.18,285.1551,2462400
2024-02-26,288.28,289.87,285.43,286.37,282.3842,2448900
2024-02-27,279.1,281.22,277.09,278.49,274.6139,3353700
2024-02-28,278.99,280.43,277.09,277.46,273.5982,3027000
2024-02-29,278.52,279.83,273.43,273.83,270.0187,5863400
2024-03-01,276.5,281.93,274.88,280.33,276.4282,3772700
2024-03-04,283.26,285.89,277.65,279.39,275.5013,2470300
2024-03-05,279.62,279.75,275.02,276.65,272.7995,3064000
2024-03-06,275.38,278.97,274.55,276.59,272.7403,2240200
2024-03-07,276.3,276.81,269.58,272.86,269.0622,4066300
2024-03-08,272.81,276.56,272.01,273.75,269.9398,2250800
2024-03-11,274.51,278.19,272.99,275.36,271.5274,1851000
2024-03-12,276.85,278.15,274.14,276.54,272.691,1738700
2024-03-13,278.18,278.56,275.21,275.99,272.1487,1641000
2024-03-14,276.84,277.23,270.45,271.54,267.7606,2370500
2024-03-15,272.09,275.18,268.17,268.87,265.1278,8794200
2024-03-18,270.0,273.58,269.21,270.9,267.1295,3608300
2024-03-19,270.18,273.16,269.51,271.73,267.9479,3037500
2024-03-20,271.21,273.08,269.24,273.05,269.2496,2564500
2024-03-21,274.63,277.92,274.39,276.95,273.0953,2489400
2024-03-22,277.39,278.29,275.1,276.17,272.3261,2303100
2024-03-25,276.43,281.33,275.41,280.82,276.9114,2954400
2024-03-26,282.15,284.5,280.7,281.77,277.8482,3343000
2024-03-27,284.22,286.82,282.55,286.3,282.3152,2256300
2024-03-28,287.86,288.57,284.21,284.32,280.3627,2289900
2024-04-01,282.11,283.83,279.0,283.04,279.1005,1868600
2024-04-02,283.34,283.91,276.04,276.21,272.3656,2220500
2024-04-03,275.69,276.47,273.68,274.42,270.6005,1669200
2024-04-04,276.05,276.73,267.75,268.09,264.3586,2451200
2024-04-05,265.9,273.07,265.08,269.95,266.1927,2293800
2024-04-08,269.48,270.21,267.56,269.2,265.4532,1830800
2024-04-09,270.19,271.29,268.58,270.36,266.597,1792600
2024-04-10,267.96,268.38,264.63,266.45,262.7414,1949500
2024-04-11,270.22,273.0,268.45,270.0,266.242,2169600
2024-04-12,268.77,269.3,266.17,267.28,263.5599,2140100
2024-04-15,269.93,270.93,264.35,265.51,261.8145,1740000
2024-04-16,266.83,267.51,263.81,265.64,261.9427,2017600
2024-04-17,267.54,268.77,263.39,264.07,260.3946,2175100
2024-04-18,265.64,265.92,262.58,262.75,259.0929,2082700
2024-04-19,264.63,269.38,260.68,268.93,265.1869,3380100
2024-04-22,269.84,273.14,269.84,271.91,268.1254,2165800
2024-04-23,272.14,274.48,271.05,273.54,269.7328,2493300
2024-04-24,270.63,274.86,269.65,273.01,269.2101,2467100
2024-04-25,273.45,274.35,267.24,269.38,265.6307,1794000
2024-04-26,265.72,271.68,265.72,269.98,266.2223,2436900
2024-04-29,269.18,276.86,268.99,276.38,272.5332,2678900
2024-04-30,276.11,276.12,272.35,273.94,270.1272,2477300
2024-05-01,274.18,279.84,273.38,277.37,273.5094,2323700
2024-05-02,277.69,278.63,274.9,278.39,274.5153,3177500
2024-05-03,313.39,322.6,308.68,311.29,306.9573,9644700
2024-05-06,310.88,312.73,297.52,299.48,295.3117,4717600
2024-05-07,301.75,302.91,298.51,300.3,296.1203,2452100
2024-05-08,300.12,307.57,298.89,307.31,303.0327,2859600
2024-05-09,309.53,314.6,306.32,312.86,308.5055,2921300
2024-05-10,312.89,314.89,309.82,310.15,305.8332,2611800
2024-05-13,312.15,312.15,307.06,308.45,304.1569,1558500
2024-05-14,308.73,312.4,307.47,311.41,307.0757,1631100
2024-05-15,314.82,321.44,312.87,319.04,314.5995,3466000
2024-05-16,314.63,316.14,310.76,314.72,312.5438,2367800
2024-05-17,315.28,315.28,310.37,312.47,310.3093,1974200
