date,open,high,low,close,adjusted_close,volume
2024-02-12,33.0,33.97,32.98,33.62,33.183,34160434
2024-02-13,33.12,33.31,32.35,32.75,32.3243,43801480
2024-02-14,32.98,33.18,32.865,33.13,32.6994,27833900
2024-02-15,33.32,34.24,33.32,34.07,33.6272,41683113
2024-02-16,33.92,34.15,32.49,34.09,33.6469,33290660
2024-02-20,33.78,34.09,33.774,33.96,33.5186,30372881
2024-02-21,33.36,33.74,33.175,33.7,33.262,37878887
2024-02-22,33.37,34.07,33.37,33.61,33.1731,42756848
2024-02-23,33.73,34.05,33.49,33.92,33.4791,30586039
2024-02-26,33.79,34.22,33.53,33.61,33.1731,31129150
2024-02-27,33.73,34.43,33.71,34.28,33.8344,40536281
2024-02-28,34.22,34.6,34.1113,34.31,33.864,39548559
2024-02-29,34.33,34.65,34.15,34.52,34.3113,43863398
2024-03-01,34.53,34.65,34.035,34.35,34.1423,38432320
2024-03-04,34.29,35.42,34.25,35.15,34.9375,49136379
2024-03-05,34.93,35.715,34.87,35.39,35.1761,47591602
2024-03-06,35.65,35.79,35.07,35.42,35.2059,49149719
2024-03-07,35.6,35.9,35.25,35.63,35.4146,35900672
2024-03-08,35.87,36.13,35.5,35.6,35.3848,42769941
2024-03-11,35.39,35.93,35.27,35.89,35.673,34131527
2024-03-12,35.9,36.15,35.775,35.96,35.7426,29260369
2024-03-13,35.96,36.445,35.96,36.08,35.8619,38289551
2024-03-14,35.92,36.22,35.48,35.69,35.4742,40178047
2024-03-15,35.28,36.01,35.24,35.41,35.1959,69646391
2024-03-18,35.66,36.085,35.39,36.01,35.7923,50617859
2024-03-19,35.89,36.39,35.8533,36.03,35.8122,46113770
2024-03-20,35.84,36.88,35.73,36.75,36.5278,40518961
2024-03-21,36.93,37.6,36.88,37.51,37.2832,43219488
2024-03-22,37.41,37.61,37.0,37.05,36.826,29001051
2024-03-25,37.1,37.275,36.84,36.86,36.6372,30480250
2024-03-26,37.0,37.235,36.8,37.09,36.8658,33673449
2024-03-27,37.25,37.845,37.24,37.81,37.5814,36350230
2024-03-28,37.72,38.0,37.415,37.92,37.6908,42262527
2024-04-01,37.94,38.35,37.44,37.52,37.2932,33908008
2024-04-02,37.19,37.575,37.1625,37.3,37.0745,34806820
2024-04-03,37.4,38.015,37.27,37.44,37.2137,33338469
2024-04-04,37.7,37.96,36.87,36.92,36.6968,42888180
2024-04-05,36.81,37.34,36.73,37.11,36.8857,30823539
2024-04-08,37.2,37.58,37.13,37.5,37.2733,29470289
2024-04-09,37.51,37.77,37.2,37.73,37.5019,30977650
2024-04-10,37.18,37.23,36.55,36.65,36.4284,37610660
2024-04-11,36.75,36.75,36.05,36.35,36.1303,38604031
2024-04-12,35.81,36.09,35.53,35.79,35.5736,47126090
2024-04-15,36.33,36.76,35.755,35.95,35.7327,44391992
2024-04-16,36.095,36.17,34.15,34.68,34.4703,95566086
2024-04-17,34.89,35.75,34.75,35.23,35.017,65951383
2024-04-18,35.54,35.99,35.18,35.77,35.5538,44506199
2024-04-19,36.1,37.12,36.06,36.97,36.7465,56273680
2024-04-22,37.0,37.91,36.87,37.73,37.5019,43867078
2024-04-23,37.94,38.42,37.83,38.37,38.138,39180328
2024-04-24,38.02,38.495,38.0,38.32,38.0883,28670551
2024-04-25,37.93,38.27,37.375,37.91,37.6808,41115961
2024-04-26,37.93,38.31,37.78,37.83,37.6013,28668680
2024-04-29,37.84,38.06,37.45,37.55,37.323,26563910
2024-04-30,37.345,37.67,36.981,37.01,36.7863,30283850
2024-05-01,37.21,37.505,36.77,36.95,36.7266,32277500
2024-05-02,37.37,37.49,36.65,36.88,36.657,34860262
2024-05-03,37.25,37.53,37.08,37.25,37.0248,34082660
2024-05-06,37.66,37.79,37.36,37.69,37.4622,28422330
2024-05-07,37.695,38.145,37.695,37.84,37.6112,29119480
2024-05-08,37.7,37.82,37.515,37.71,37.482,32803301
2024-05-09,37.53,38.42,37.46,38.28,38.0486,26855359
2024-05-10,38.48,38.78,38.325,38.45,38.2176,27359141
