date,open,high,low,close,adjusted_close,volume
2024-02-12,48296.3867,50280.4766,47745.7617,49958.2227,49958.2227,34511985805
2024-02-13,49941.3594,50358.3906,48406.4961,49742.4414,49742.4414,35593051468
2024-02-14,49733.4453,52021.3711,49296.832,51826.6953,51826.6953,39105608050
2024-02-15,51836.7852,52820.0664,51371.6289,51938.5547,51938.5547,38564360533
2024-02-16,51937.7266,52537.9688,51641.3672,52160.2031,52160.2031,28180567298
2024-02-20,51777.7266,52945.0508,50792.3125,52284.875,52284.875,33353758256
2024-02-21,52273.5352,52368.8164,50671.7578,51839.1797,51839.1797,28624907020
2024-02-22,51854.6445,52009.6133,50926.293,51304.9727,51304.9727,25413900611
2024-02-23,51283.9063,51497.9336,50561.7773,50731.9492,50731.9492,21427078270
2024-02-26,51730.5391,54938.1758,50931.0313,54522.4023,54522.4023,34074411896
2024-02-27,54519.3633,57537.8398,54484.1992,57085.3711,57085.3711,49756832031
2024-02-28,57071.0977,63913.1328,56738.4258,62504.7891,62504.7891,83239156760
2024-02-29,62499.1836,63585.6445,60498.7305,61198.3828,61198.3828,65496611844
2024-03-01,61168.0625,63155.1016,60802.5273,62440.6328,62440.6328,40186368423
2024-03-04,63137.0039,68537.0313,62386.5195,68330.4141,68330.4141,70670471105
2024-03-05,68341.0547,69170.625,59323.9102,63801.1992,63801.1992,102802940877
2024-03-06,63776.0508,67637.9297,62848.6719,66106.8047,66106.8047,68750229073
2024-03-07,66099.7422,68029.9219,65655.5313,66925.4844,66925.4844,46989543159
2024-03-08,66938.0938,70083.0547,66230.4531,68300.0938,68300.0938,59202881172
2024-03-11,69020.5469,72850.7109,67194.8828,72123.9063,72123.9063,65716656765
2024-03-12,72125.125,72825.6563,68728.8516,71481.2891,71481.2891,62554434520
2024-03-13,71482.1172,73637.4766,71334.0938,73083.5,73083.5,48212536929
2024-03-14,73079.375,73750.0703,68563.0234,71396.5938,71396.5938,59594605698
2024-03-15,71387.875,72357.1328,65630.6953,69403.7734,69403.7734,78320453976
2024-03-18,68371.3047,68897.1328,66594.2266,67548.5938,67548.5938,49261579492
2024-03-19,67556.1328,68106.9297,61536.1797,61912.7734,61912.7734,74215844794
2024-03-20,61930.1563,68115.2578,60807.7852,67913.6719,67913.6719,66792634382
2024-03-21,67911.5859,68199.9922,64580.918,65491.3906,65491.3906,44480350565
2024-03-22,65489.9297,66623.75,62355.3711,63778.7617,63778.7617,41401116964
2024-03-25,67234.0938,71162.5938,66414.8359,69958.8125,69958.8125,42700139523
2024-03-26,69931.3281,71535.7422,69335.6094,69987.8359,69987.8359,36010437368
2024-03-27,69991.8984,71727.6875,68381.9297,69455.3438,69455.3438,40827113309
2024-03-28,69452.7734,71546.0234,68895.5078,70744.9531,70744.9531,34374900617
2024-04-01,71333.4844,71342.0938,68110.6953,69702.1484,69702.1484,34873527352
2024-04-02,69705.0234,69708.3828,64586.5938,65446.9727,65446.9727,50705240709
2024-04-03,65446.6719,66914.3203,64559.8984,65980.8125,65980.8125,34488018367
2024-04-04,65975.6953,69291.2578,65113.7969,68508.8438,68508.8438,34439527442
2024-04-05,68515.7578,68725.7578,66011.4766,67837.6406,67837.6406,33748230056
2024-04-08,69362.5547,72715.3594,69064.2422,71631.3594,71631.3594,37261432669
2024-04-09,71632.5,71742.5078,68212.9219,69139.0156,69139.0156,36426900409
2024-04-10,69140.2422,71093.4297,67503.5625,70587.8828,70587.8828,38318601774
2024-04-11,70575.7344,71256.2344,69571.8125,70060.6094,70060.6094,30153382941
2024-04-12,70061.3828,71222.7422,65254.8359,67195.8672,67195.8672,44129299406
2024-04-15,65739.6484,66878.6484,62332.0703,63426.2109,63426.2109,43595917654
2024-04-16,63419.2969,64355.668,61716.4023,63811.8633,63811.8633,42847528078
2024-04-17,63831.8477,64486.3633,59768.5859,61276.6914,61276.6914,41915247049
2024-04-18,61275.3164,64125.6875,60833.4805,63512.7539,63512.7539,36006307335
2024-04-19,63510.75,65481.5977,59651.3906,63843.5703,63843.5703,49920425401
2024-04-22,64935.6328,67233.9609,64548.1797,66837.6797,66837.6797,28282686673
2024-04-23,66839.8906,67199.2422,65864.8672,66407.2734,66407.2734,24310975583
2024-04-24,66408.7188,67075.3672,63589.8711,64276.8984,64276.8984,30276655120
2024-04-25,64275.0195,65275.207,62783.6328,64481.707,64481.707,32155786816
2024-04-26,64485.3711,64789.6563,63322.3984,63755.3203,63755.3203,24139372950
2024-04-29,63106.3633,64174.8789,61795.457,63841.1211,63841.1211,26635912073
2024-04-30,63839.418,64703.332,59120.0664,60636.8555,60636.8555,37840840057
2024-05-01,60609.4961,60780.5,56555.293,58254.0117,58254.0117,48439780271
2024-05-02,58253.7031,59602.2969,56937.2031,59123.4336,59123.4336,32711813559
2024-05-03,59122.3008,63320.5039,58848.3125,62889.8359,62889.8359,33172023048
2024-05-06,64038.3125,65494.9023,62746.2383,63161.9492,63161.9492,28697928697
2024-05-07,63162.7617,64390.457,62285.9805,62334.8164,62334.8164,25930730982
2024-05-08,62332.6406,62986.0859,60877.1289,61187.9414,61187.9414,26088172222
2024-05-09,61191.1992,63404.9141,60648.0742,63049.9609,63049.9609,25453338161
2024-05-10,63055.1914,63446.7422,60208.7813,60792.7773,60792.7773,27804954694
2024-05-13,61451.2188,63422.6602,60769.8398,62901.4492,62901.4492,27889181179
2024-05-14,62900.7734,63092.125,61123.7656,61552.7891,61552.7891,28186271527
2024-05-15,61553.9883,66454.4531,61330.4102,66267.4922,66267.4922,39815167074
2024-05-16,66256.1094,66712.4297,64613.0547,65231.582,65231.582,31573077994
2024-05-17,65231.2969,67459.4609,65119.3164,67051.875,67051.875,28031279310
