date,open,high,low,close,adjusted_close,volume
2024-02-12,723.52,723.8,715.3,722.41,719.2713,1572600
2024-02-13,721.39,721.78,709.04,714.25,711.1467,1951100
2024-02-14,716.0,722.55,711.07,722.18,719.0423,1472500
2024-02-15,721.49,726.03,718.28,724.51,721.3622,1264100
2024-02-16,721.99,729.06,718.5,723.99,720.8444,1764600
2024-02-20,728.03,734.96,723.71,725.69,722.537,2407300
2024-02-21,725.69,728.79,720.27,723.02,719.8786,1565900
2024-02-22,725.85,736.05,725.85,734.4,731.2092,1801600
2024-02-23,740.12,742.51,737.12,737.93,734.7239,1265800
2024-02-26,742.0,746.78,739.0,745.35,742.1116,1707000
2024-02-27,746.0,746.64,741.33,744.71,741.4744,1471300
2024-02-28,743.21,751.88,743.21,747.96,744.7103,1365000
2024-02-29,751.42,752.56,742.99,743.89,740.658,3361200
2024-03-01,740.44,751.38,739.25,749.44,746.1838,1672800
2024-03-04,755.08,764.74,753.67,759.18,755.8815,2133400
2024-03-05,768.42,769.27,756.9,759.95,756.6482,2353400
2024-03-06,764.84,775.16,763.66,773.24,769.8804,2400600
2024-03-07,779.11,787.08,777.01,785.59,782.1768,4187900
2024-03-08,756.05,756.22,725.1,725.56,722.4076,8568900
2024-03-11,719.81,720.0,711.01,714.08,710.9775,3762500
2024-03-12,717.08,740.05,716.91,736.88,733.6784,3727400
2024-03-13,735.0,736.5,726.58,734.2,731.0101,2270300
2024-03-14,738.33,740.68,728.99,731.95,728.7698,1826100
2024-03-15,732.52,732.52,723.22,725.63,722.4773,3389900
2024-03-18,726.1,733.34,726.02,731.54,728.3616,1595200
2024-03-19,731.79,735.35,730.02,732.17,728.9889,1322700
2024-03-20,731.0,742.09,729.13,740.72,737.5017,1398700
2024-03-21,743.5,752.31,741.1,742.56,739.3337,2106900
2024-03-22,744.43,744.79,734.38,734.8,731.6075,1791200
2024-03-25,731.0,734.16,726.74,730.96,727.7841,1604700
2024-03-26,731.0,734.7,730.22,730.98,727.8041,1353500
2024-03-27,734.0,735.89,727.75,732.08,728.8993,1246700
2024-03-28,733.85,734.9,728.32,732.63,729.4469,1713300
2024-04-01,731.76,733.27,720.2,721.24,718.1064,1600700
2024-04-02,720.0,720.0,708.4,711.3,708.2096,2326700
2024-04-03,709.98,710.81,697.27,705.69,702.6239,3205500
2024-04-04,708.77,717.13,704.22,704.88,701.8175,2252400
2024-04-05,706.04,716.89,706.02,713.72,710.619,1552300
2024-04-08,713.51,716.14,710.87,711.81,708.7173,1459000
2024-04-09,716.24,719.05,706.98,718.59,715.4679,1388300
2024-04-10,711.0,723.98,708.95,722.58,719.4405,1832000
2024-04-11,731.5,733.79,724.15,732.35,729.1681,2107800
2024-04-12,728.0,732.9,726.54,731.31,728.1326,1480600
2024-04-15,735.43,741.0,717.95,718.28,715.1592,1808000
2024-04-16,718.3,722.5,712.13,715.97,712.8593,1412300
2024-04-17,723.0,723.8,711.0,715.19,712.0827,1376700
2024-04-18,715.19,718.95,709.57,711.25,708.1598,1846400
2024-04-19,713.03,714.87,702.0,709.51,706.4273,2188900
2024-04-22,714.86,718.26,706.17,715.46,712.3515,1437100
2024-04-23,719.03,724.27,716.3,722.68,719.5401,1176200
2024-04-24,719.71,725.43,716.09,723.89,720.7449,1206600
2024-04-25,727.29,727.29,714.41,721.86,719.8772,1613600
2024-04-26,715.0,730.95,715.0,729.18,727.1771,1524400
2024-04-29,729.53,732.25,720.22,726.33,724.335,1526900
2024-04-30,725.51,725.51,717.1,722.9,720.9144,1734800
2024-05-01,722.27,729.86,715.32,722.22,720.2363,1609100
2024-05-02,724.75,734.4,720.63,732.44,730.4282,1826900
2024-05-03,734.28,747.49,733.35,743.9,741.8567,2323300
2024-05-06,749.59,756.94,746.48,756.45,754.3722,1773300
2024-05-07,758.69,772.24,755.57,771.31,769.1914,1897800
2024-05-08,770.0,773.39,762.71,763.41,761.3131,1511900
2024-05-09,763.8,779.71,763.61,779.04,776.9002,1716200
2024-05-10,779.04,787.45,778.16,787.19,785.0278,1652700
2024-05-13,788.0,789.48,773.58,775.15,773.0209,1596800
2024-05-14,774.93,780.81,771.43,777.9,775.7633,1327700
2024-05-15,778.52,789.66,778.52,787.04,784.8782,1661700
2024-05-16,791.81,804.56,787.83,793.07,790.8917,2000000
2024-05-17,793.61,797.6,790.61,795.81,793.6241,1309100
