date,open,high,low,close,adjusted_close,volume
2024-02-12,276.93,277.51,272.51,274.05,270.7047,1331700
2024-02-13,268.41,273.06,266.0,272.38,269.0551,2512400
2024-02-14,274.27,277.15,272.61,275.62,272.2555,1430900
2024-02-15,275.62,277.04,272.78,275.79,272.4234,1398000
2024-02-16,276.07,278.94,273.8,277.52,274.1323,1650900
2024-02-20,276.23,277.86,274.21,276.09,272.7198,1263600
2024-02-21,275.3,278.04,274.15,277.16,273.7767,1315200
2024-02-22,282.8,286.37,282.16,284.58,281.1061,2496300
2024-02-23,285.45,288.46,283.0,284.93,281.4519,1230700
2024-02-26,286.0,287.55,284.18,284.3,280.8296,1960300
2024-02-27,284.52,285.4,282.24,283.57,280.1085,1678200
2024-02-28,283.57,287.64,282.67,286.96,283.4571,1278900
2024-02-29,287.0,289.86,285.93,289.0,285.4722,2534300
2024-03-01,289.36,294.44,288.81,293.7,290.1148,2314600
2024-03-04,295.89,298.13,294.53,296.58,292.9597,1943500
2024-03-05,294.35,295.07,289.37,291.93,288.3664,2263300
2024-03-06,295.32,298.39,294.88,296.74,293.1177,1723900
2024-03-07,298.73,301.53,296.9,301.13,297.4541,1869100
2024-03-08,299.76,303.4,295.56,297.49,294.7787,1893900
2024-03-11,295.5,295.79,289.6,292.7,290.0324,1656600
2024-03-12,293.42,298.31,291.94,297.74,295.0265,2063200
2024-03-13,296.46,300.69,295.68,300.24,297.5037,1891100
2024-03-14,302.67,302.98,297.46,300.29,297.5532,2236400
2024-03-15,298.03,302.68,297.76,297.9,295.185,3024600
2024-03-18,300.81,303.25,298.58,298.75,296.0272,1557200
2024-03-19,298.24,303.17,297.27,302.96,300.1989,1462100
2024-03-20,304.56,310.43,303.36,309.81,306.9864,1946500
2024-03-21,311.71,315.79,310.2,315.52,312.6444,2167400
2024-03-22,314.93,317.02,314.36,316.58,313.6947,2046300
2024-03-25,315.0,315.78,311.5,311.88,309.0376,1703600
2024-03-26,311.66,316.3,311.46,312.08,309.2358,2247200
2024-03-27,314.0,314.64,308.22,314.4,311.5346,1874300
2024-03-28,314.69,314.75,312.0,312.68,309.8303,1983400
2024-04-01,313.0,314.13,311.07,312.03,309.1862,1213200
2024-04-02,313.04,316.43,312.58,314.75,311.8814,2773100
2024-04-03,315.5,322.36,315.5,320.94,318.015,2984500
2024-04-04,323.91,326.21,318.17,320.16,317.2421,3039900
2024-04-05,323.93,331.47,322.79,330.51,327.4978,2643300
2024-04-08,326.3,329.37,323.63,325.82,322.8505,2423700
2024-04-09,324.94,325.51,313.0,313.87,311.0094,4069500
2024-04-10,309.0,317.37,306.21,314.37,311.5049,2425900
2024-04-11,314.41,319.36,312.95,317.26,314.3685,1547300
2024-04-12,314.27,318.67,314.27,318.5,315.5972,2248300
2024-04-15,324.0,324.82,313.89,315.28,312.4066,2447600
2024-04-16,312.89,317.54,311.32,315.35,312.476,1547300
2024-04-17,316.68,316.68,305.85,310.18,307.3531,2204600
2024-04-18,313.75,315.71,308.46,308.94,306.1244,1860300
2024-04-19,309.04,311.66,302.26,303.02,300.2583,3084200
2024-04-22,305.35,310.34,304.17,308.09,305.2821,2379200
2024-04-23,311.94,315.28,310.4,312.84,309.9888,2781400
2024-04-24,324.0,325.41,313.95,318.79,315.8846,3550500
2024-04-25,314.05,318.88,312.15,317.1,314.21,2453100
2024-04-26,318.21,325.32,318.21,324.3,321.3444,2305700
2024-04-29,324.92,327.19,321.42,326.51,323.5342,3127300
2024-04-30,330.0,333.06,312.52,318.26,315.3594,5279700
2024-05-01,318.83,319.48,311.74,312.03,309.1862,3416700
2024-05-02,313.29,316.09,305.26,315.27,312.3967,3009900
2024-05-03,318.51,322.59,316.59,320.5,318.5287,1769800
2024-05-06,322.33,327.43,322.33,327.24,325.2273,1297000
2024-05-07,328.11,329.0,325.62,327.43,325.4161,1792900
2024-05-08,327.4,333.13,326.82,330.4,328.3678,1454300
2024-05-09,330.0,333.45,329.98,333.26,331.2103,1487100
2024-05-10,335.0,337.7,330.11,330.57,328.5368,1955000
2024-05-13,331.01,331.88,325.86,328.51,326.4895,1903200
2024-05-14,326.16,331.37,321.97,330.45,328.4175,1588200
2024-05-15,332.0,338.15,332.0,337.96,335.8813,1720100
2024-05-16,337.9,338.88,330.13,330.18,328.1492,2203100
2024-05-17,332.0,333.61,326.71,330.24,328.2088,1881400
