date,open,high,low,close,adjusted_close,volume
2024-02-12,148.42,149.335,147.37,147.53,147.1656,21564090
2024-02-13,144.92,146.67,143.69,145.14,144.7815,27837730
2024-02-14,146.08,146.52,144.094,145.94,145.5795,22704170
2024-02-15,143.14,143.52,140.46,142.77,142.4173,37590699
2024-02-16,142.99,143.19,140.14,140.52,140.1729,31468930
2024-02-20,139.655,142.08,139.49,141.12,140.7714,24935711
2024-02-21,141.45,142.69,140.675,142.55,142.1979,23315689
2024-02-22,144.93,145.0,142.8,144.09,143.7341,27191891
2024-02-23,143.67,144.68,143.43,143.96,143.6044,19493750
2024-02-26,142.14,142.44,137.39,137.57,137.2302,53641801
2024-02-27,138.02,139.25,137.09,138.88,138.537,33099191
2024-02-28,137.9,138.01,135.41,136.38,136.0431,37328559
2024-02-29,137.28,138.86,136.4,138.46,138.118,42132953
2024-03-01,138.43,138.87,136.92,137.14,136.8013,31151119
2024-03-04,135.66,135.66,131.91,133.35,133.0206,55999422
2024-03-05,131.88,133.24,130.665,132.67,132.3423,40194762
2024-03-06,133.12,133.58,130.85,131.4,131.0754,35318609
2024-03-07,132.795,134.94,131.61,134.38,134.0481,37738207
2024-03-08,134.21,138.085,134.0,135.41,135.0755,39370391
2024-03-11,136.13,139.095,136.13,137.67,137.3299,32437770
2024-03-12,137.03,139.375,137.03,138.5,138.1579,27563350
2024-03-13,139.0,141.09,138.99,139.79,139.4447,23347211
2024-03-14,141.19,143.585,140.455,143.1,142.7465,42753391
2024-03-15,142.5,143.18,140.03,141.18,140.8313,49475422
2024-03-18,148.61,152.15,147.17,147.68,147.3152,69273695
2024-03-19,148.16,148.7913,146.08,147.03,146.6668,24070439
2024-03-20,148.0,148.86,146.735,148.74,148.3726,21311500
2024-03-21,149.47,150.37,146.9001,147.6,147.2354,24755600
2024-03-22,149.12,151.58,148.98,150.77,150.3976,29211770
2024-03-25,149.94,150.375,147.82,150.07,149.6993,19229289
2024-03-26,150.22,152.256,149.98,150.67,150.2978,22149141
2024-03-27,151.18,151.635,148.9,150.87,150.4973,22879180
2024-03-28,150.85,151.43,150.17,150.93,150.5572,24485391
2024-04-01,150.69,155.74,150.61,155.49,155.1059,31730850
2024-04-02,153.5,154.7,152.15,154.56,154.1782,24585990
2024-04-03,153.6,155.08,152.73,154.92,154.5373,24704990
2024-04-04,153.5,154.77,150.45,150.53,150.1582,34724738
2024-04-05,150.03,153.42,149.6,152.5,152.1233,23459250
2024-04-08,152.78,155.27,152.61,154.85,154.4675,20701971
2024-04-09,156.085,158.56,155.19,156.6,156.2132,31113010
2024-04-10,156.21,156.61,154.68,156.14,155.7543,22838631
2024-04-11,156.91,159.68,156.46,159.41,159.0162,27166430
2024-04-12,157.96,160.2225,157.14,157.73,157.3404,25353750
2024-04-15,158.86,159.24,154.59,154.86,154.4775,27136471
2024-04-16,154.19,155.65,153.43,154.4,154.0186,20779500
2024-04-17,155.62,157.08,154.58,155.47,155.086,21763131
2024-04-18,155.34,156.94,154.62,156.01,155.6246,19883039
2024-04-19,156.2,156.36,152.3,154.09,153.7094,32615641
2024-04-22,154.31,157.64,154.06,156.28,155.894,26446211
2024-04-23,156.96,158.97,156.28,158.26,157.8691,21151570
2024-04-24,157.49,159.565,157.165,159.13,158.7369,22779109
2024-04-25,151.33,156.49,150.87,156.0,155.6147,57109727
2024-04-26,174.37,174.71,169.65,171.95,171.5253,64665301
2024-04-29,169.058,169.55,165.21,166.15,165.7396,45610020
2024-04-30,165.612,168.1,162.6,162.78,162.3779,33562859
2024-05-01,164.3,167.12,163.09,163.86,163.4553,33493148
2024-05-02,164.785,166.73,163.89,166.62,166.2084,24294551
2024-05-03,167.56,167.96,163.05,167.24,166.8269,34662434
2024-05-06,167.46,168.14,166.03,168.1,167.6848,21871279
2024-05-07,168.5,171.76,168.39,171.25,170.827,28039699
2024-05-08,169.0,170.15,168.735,169.38,168.9616,19569150
2024-05-09,169.39,170.69,168.18,169.96,169.5402,15346700
2024-05-10,168.025,169.85,166.19,168.65,168.2334,29799930
2024-05-13,164.26,169.28,164.0,169.14,168.7222,31327600
2024-05-14,169.77,171.25,168.8,170.34,169.9192,25127141
2024-05-15,170.63,172.65,170.51,172.51,172.0839,26948369
2024-05-16,173.29,175.115,172.69,174.18,173.7498,27867949
2024-05-17,174.18,176.265,173.69,176.06,175.6251,24479260
