"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2024","40,792.79","40,881.03","40,974.21","40,738.43","109.14M","-0.10%"
"08/20/2024","40834.97","40874.52","40909.38","40756.65","299.38M","-0.15%"
"08/19/2024","40896.53","40670.83","40907.32","40670.83","288.19M","0.58%"
"08/16/2024","40659.76","40528.86","40726.03","40453.58","323.22M","0.24%"
"08/15/2024","40563.06","40295.74","40590.51","40295.74","446.86M","1.39%"
"08/14/2024","40008.39","39800.59","40068.75","39737.20","317.80M","0.61%"
"08/13/2024","39765.64","39445.27","39792.80","39392.41","365.56M","1.04%"
"08/12/2024","39357.01","39556.01","39587.06","39251.72","312.38M","-0.36%"
"08/09/2024","39497.54","39408.06","39628.66","39230.43","316.32M","0.13%"
"08/08/2024","39446.49","38940.38","39508.40","38922.79","376.44M","1.76%"
"08/07/2024","38763.45","39230.09","39477.96","38731.51","428.25M","-0.60%"
"08/06/2024","38997.66","38736.22","39449.53","38638.30","475.42M","0.76%"
"08/05/2024","38703.27","39056.19","39056.19","38499.27","661.28M","-2.60%"
"08/02/2024","39737.26","40075.33","40075.33","39358.68","841.97M","-1.51%"
"08/01/2024","40347.97","40916.96","41096.66","40098.57","472.04M","-1.21%"
"07/31/2024","40842.79","40768.88","41198.63","40655.89","420.10M","0.24%"
"07/30/2024","40743.33","40622.13","40866.25","40529.10","358.45M","0.50%"
"07/29/2024","40539.93","40665.71","40682.49","40388.83","277.55M","-0.12%"
"07/26/2024","40589.34","40140.86","40753.83","40140.86","334.46M","1.64%"
"07/25/2024","39935.07","39828.63","40438.82","39817.50","382.49M","0.20%"
"07/24/2024","39853.87","40210.63","40258.44","39807.45","400.90M","-1.25%"
"07/23/2024","40358.09","40443.73","40527.89","40319.70","296.80M","-0.14%"
"07/22/2024","40415.44","40414.49","40472.53","40222.77","358.56M","0.32%"
"07/19/2024","40287.53","40592.35","40626.16","40203.27","354.44M","-0.93%"
"07/18/2024","40665.02","41156.56","41376.00","40597.50","398.28M","-1.29%"
"07/17/2024","41198.08","40862.57","41221.98","40849.71","438.86M","0.59%"
"07/16/2024","40954.48","40263.78","40988.81","40263.78","313.52M","1.85%"
"07/15/2024","40211.72","40138.40","40351.10","40136.10","322.33M","0.53%"
"07/12/2024","40000.90","39783.28","40257.24","39783.28","329.07M","0.62%"
"07/11/2024","39753.75","39695.18","39875.60","39623.12","363.85M","0.08%"
"07/10/2024","39721.36","39272.45","39736.20","39256.72","336.92M","1.09%"
"07/09/2024","39291.97","39357.37","39492.28","39146.60","365.56M","-0.13%"
"07/08/2024","39344.79","39391.98","39654.96","39278.43","364.05M","-0.08%"
"07/05/2024","39375.87","39313.40","39399.62","39168.70","331.49M","0.17%"
"07/03/2024","39308.00","39358.95","39411.17","39230.86","202.07M","-0.06%"
"07/02/2024","39331.85","39108.25","39340.49","39085.69","325.02M","0.41%"
