date,open,high,low,close,change,volume
2023-01-03,33148.90,33387.52,32850.57,33136.37,-0.03%,358.61M
2023-01-04,33165.14,33409.10,33033.48,33269.77,0.40%,383.35M
2023-01-05,33191.72,33191.72,32812.33,32930.08,-1.02%,342.67M
2023-01-06,33055.30,33710.66,32997.39,33630.61,2.13%,365.50M
2023-01-09,33664.39,33935.11,33487.66,33517.65,-0.34%,327.85M
2023-01-10,33516.43,33726.54,33421.80,33704.10,0.56%,269.50M
2023-01-11,33754.03,33974.69,33711.04,33973.01,0.80%,301.65M
2023-01-12,34047.86,34292.67,33792.10,34189.97,0.64%,308.20M
2023-01-13,34075.31,34342.32,33915.49,34302.61,0.33%,274.12M
2023-01-17,34222.32,34269.97,33860.67,33910.85,-1.14%,355.39M
2023-01-18,33948.49,34016.53,33269.90,33296.96,-1.81%,354.57M
2023-01-19,33171.35,33227.49,32982.05,33044.56,-0.76%,321.33M
2023-01-20,33073.46,33381.95,32948.93,33375.49,1.00%,369.42M
2023-01-23,33439.56,33782.88,33316.25,33629.56,0.76%,357.54M
2023-01-24,33444.72,33782.92,33310.56,33733.96,0.31%,305.71M
2023-01-25,33538.36,33773.09,33273.21,33743.84,0.03%,344.39M
2023-01-26,33771.66,33953.79,33635.60,33949.41,0.61%,333.74M
2023-01-27,33952.93,34164.33,33830.85,33978.08,0.08%,444.13M
2023-01-30,33909.21,34055.29,33695.18,33717.09,-0.77%,346.04M
2023-01-31,33803.56,34095.23,33664.91,34086.04,1.09%,360.25M
2023-02-01,34039.60,34334.70,33581.42,34092.96,0.02%,370.13M
2023-02-02,34129.30,34145.14,33814.78,34053.94,-0.11%,442.57M
2023-02-03,33926.30,34179.58,33813.86,33926.01,-0.38%,425.15M
2023-02-06,33874.44,33962.84,33683.58,33891.02,-0.10%,296.40M
2023-02-07,33769.78,34240.00,33634.10,34156.69,0.78%,361.63M
2023-02-08,34132.90,34161.65,33899.79,33949.01,-0.61%,324.09M
2023-02-09,34105.61,34252.57,33607.13,33699.88,-0.73%,347.53M
2023-02-10,33671.54,33897.31,33591.99,33869.27,0.50%,289.72M
2023-02-13,33887.39,34249.60,33887.39,34245.93,1.11%,303.58M
2023-02-14,34194.09,34331.47,33827.45,34089.27,-0.46%,291.75M
2023-02-15,34008.63,34130.49,33833.10,34128.05,0.11%,269.85M
2023-02-16,33992.09,34041.16,33686.59,33696.85,-1.26%,317.54M
2023-02-17,33677.01,33846.64,33517.73,33826.69,0.39%,303.77M
2023-02-21,33699.69,33699.69,33115.74,33129.59,-2.06%,348.32M
2023-02-22,33169.33,33245.97,32948.27,33045.09,-0.26%,325.33M
2023-02-23,33175.39,33272.40,32795.67,33153.91,0.33%,288.13M
2023-02-24,32999.19,32999.19,32643.48,32816.92,-1.02%,277.12M
2023-02-27,32906.16,33189.28,32814.18,32889.09,0.22%,246.23M
2023-02-28,32873.47,32873.47,32636.43,32656.70,-0.71%,308.69M
2023-03-01,32656.37,32746.15,32500.71,32661.84,0.02%,296.34M
2023-03-02,32780.97,33083.45,32665.85,33003.57,1.05%,319.32M
2023-03-03,33076.33,33405.82,33008.41,33390.97,1.17%,302.95M
2023-03-06,33425.32,33572.22,33383.47,33431.44,0.12%,329.82M
2023-03-07,33428.31,33453.25,32838.21,32856.46,-1.72%,301.59M
2023-03-08,32872.08,32903.44,32612.70,32798.40,-0.18%,242.76M
2023-03-09,32876.83,32990.46,32190.60,32254.86,-1.66%,318.64M
2023-03-10,32185.14,32422.10,31783.41,31909.64,-1.07%,400.24M
2023-03-13,31819.93,32240.35,31624.87,31819.14,-0.28%,431.15M
2023-03-14,32055.29,32306.59,31805.40,32155.40,1.06%,395.73M
2023-03-15,31759.87,31906.47,31429.82,31874.57,-0.87%,428.11M
2023-03-16,31827.65,32281.61,31571.46,32246.55,1.17%,444.39M
2023-03-17,32217.32,32217.32,31728.70,31861.98,-1.19%,722.09M
2023-03-20,31872.33,32280.07,31872.33,32244.58,1.20%,360.21M
2023-03-21,32420.71,32593.68,32346.12,32560.60,0.98%,367.47M
2023-03-22,32570.19,32761.89,32020.46,32030.11,-1.63%,333.03M
2023-03-23,32101.49,32511.49,31864.74,32105.25,0.23%,335.43M
2023-03-24,32038.22,32257.24,31805.18,32237.53,0.41%,317.08M
2023-03-27,32276.72,32564.00,32276.72,32432.08,0.60%,291.56M
2023-03-28,32434.85,32551.01,32295.50,32394.25,-0.12%,248.56M
2023-03-29,32566.54,32728.04,32539.94,32717.60,1.00%,317.45M
2023-03-30,32807.43,32905.80,32682.87,32859.03,0.43%,289.10M
2023-03-31,32901.96,33291.00,32901.96,33274.15,1.26%,353.74M
2023-04-03,33245.78,33632.90,33245.78,33601.15,0.98%,316.61M
2023-04-04,33594.79,33634.72,33275.62,33402.38,-0.59%,287.79M
2023-04-05,33394.60,33543.84,33376.27,33482.72,0.24%,288.10M
2023-04-06,33420.96,33525.96,33325.37,33485.29,0.01%,258.68M
2023-04-10,33425.25,33590.24,33343.43,33586.52,0.30%,232.92M
2023-04-11,33586.75,33781.29,33586.75,33684.79,0.29%,241.44M
2023-04-12,33764.21,33895.43,33593.32,33646.50,-0.11%,260.31M
2023-04-13,33668.97,34054.99,33605.17,34029.69,1.14%,277.24M
2023-04-14,33981.71,34082.94,33730.85,33886.47,-0.42%,276.72M
2023-04-17,33930.46,33991.23,33796.91,33987.18,0.30%,235.83M
2023-04-18,33965.16,34018.62,33791.89,33976.63,-0.03%,256.48M
2023-04-19,33889.83,33957.98,33814.65,33897.01,-0.23%,254.11M
2023-04-20,33740.60,33875.39,33677.74,33786.62,-0.33%,309.68M
2023-04-21,33793.60,33858.83,33688.57,33808.96,0.07%,294.96M
2023-04-24,33805.04,33891.15,33726.09,33875.40,0.20%,260.22M
2023-04-25,33828.34,33875.49,33525.39,33530.83,-1.02%,302.75M
2023-04-26,33596.34,33645.83,33235.85,33301.87,-0.68%,325.37M
2023-04-27,33381.66,33859.75,33374.65,33826.16,1.57%,347.46M
2023-04-28,33797.43,34104.56,33728.37,34098.16,0.80%,358.27M
2023-05-01,34116.81,34257.83,34030.14,34051.70,-0.14%,248.60M
2023-05-02,34017.62,34017.75,33436.66,33684.53,-1.08%,275.73M
2023-05-03,33726.64,33811.84,33396.05,33414.24,-0.80%,292.78M
2023-05-04,33347.78,33354.86,32937.50,33127.74,-0.86%,317.32M
2023-05-05,33248.55,33748.43,33248.55,33674.38,1.65%,318.57M
2023-05-08,33715.15,33747.49,33509.23,33618.69,-0.17%,225.68M
2023-05-09,33589.85,33656.40,33509.72,33561.81,-0.17%,235.14M
2023-05-10,33707.20,33772.09,33239.45,33531.33,-0.09%,278.73M
2023-05-11,33383.89,33389.88,33127.70,33309.51,-0.66%,306.79M
2023-05-12,33370.58,33406.40,33110.61,33300.62,-0.03%,228.72M
2023-05-15,33321.21,33400.30,33161.93,33348.60,0.14%,224.52M
2023-05-16,33275.37,33290.85,33006.19,33012.14,-1.01%,247.67M
2023-05-17,33092.48,33472.38,33050.41,33420.77,1.24%,310.71M
2023-05-18,33374.56,33579.91,33212.09,33535.91,0.34%,333.07M
2023-05-19,33582.95,33652.90,33336.66,33426.63,-0.33%,315.21M
2023-05-22,33408.54,33512.30,33207.85,33286.58,-0.42%,271.48M
2023-05-23,33190.60,33310.17,33013.29,33055.51,-0.69%,294.26M
2023-05-24,33021.76,33031.75,32752.44,32799.92,-0.77%,253.32M
2023-05-25,32854.26,32870.43,32586.56,32764.65,-0.11%,371.26M
2023-05-26,32795.50,33162.06,32795.50,33093.34,1.00%,333.80M
2023-05-30,33103.65,33132.70,32893.97,33042.78,-0.15%,324.22M
2023-05-31,32948.71,32984.83,32739.73,32908.27,-0.41%,695.13M
2023-06-01,32929.85,33167.75,32704.51,33061.57,0.47%,349.46M
2023-06-02,33187.58,33805.00,33187.58,33762.76,2.12%,389.26M
2023-06-05,33771.13,33804.22,33552.79,33562.86,-0.59%,371.10M
2023-06-06,33547.67,33631.25,33399.69,33573.28,0.03%,295.70M
2023-06-07,33562.47,33708.78,33546.11,33665.02,0.27%,351.54M
2023-06-08,33656.98,33873.81,33630.04,33833.61,0.50%,272.72M
2023-06-09,33852.44,33975.32,33787.16,33876.78,0.13%,263.23M
2023-06-12,33906.80,34077.84,33878.46,34066.33,0.56%,309.50M
2023-06-13,34111.08,34310.28,34107.98,34212.12,0.43%,310.68M
2023-06-14,34044.70,34151.42,33783.55,33979.33,-0.68%,358.49M
2023-06-15,33945.98,34488.98,33945.98,34408.06,1.26%,362.53M
2023-06-16,34464.02,34588.68,34285.69,34299.12,-0.32%,609.15M
2023-06-20,34206.66,34206.66,33915.93,34053.87,-0.72%,344.62M
2023-06-21,33990.56,34097.93,33876.17,33951.52,-0.30%,326.24M
2023-06-22,33900.47,34003.56,33835.39,33946.71,-0.01%,278.55M
2023-06-23,33835.66,33835.66,33646.49,33727.43,-0.65%,382.71M
2023-06-26,33730.79,33819.49,33610.32,33714.71,-0.04%,267.56M
2023-06-27,33739.03,33975.65,33730.39,33926.74,0.63%,296.26M
2023-06-28,33881.38,33903.76,33755.92,33852.66,-0.22%,268.05M
