date,open,high,low,close,change,volume
2023-01-03,11038.42,11093.10,10770.93,10862.64,-0.70%,29437M
2023-01-04,10949.34,10981.46,10785.53,10914.80,0.48%,29208M
2023-01-05,10837.25,10842.33,10728.26,10741.22,-1.59%,27998M
2023-01-06,10807.46,11082.59,10696.42,11040.35,2.78%,31574M
2023-01-09,11133.07,11304.84,11085.33,11108.45,0.62%,27410M
2023-01-10,11069.05,11207.56,11050.68,11205.78,0.88%,23165M
2023-01-11,11259.16,11403.89,11220.75,11402.53,1.76%,27925M
2023-01-12,11441.46,11500.86,11246.02,11459.61,0.50%,26498M
2023-01-13,11362.13,11547.96,11347.60,11541.48,0.71%,22940M
2023-01-17,11531.54,11615.95,11484.02,11557.19,0.14%,26200M
2023-01-18,11636.61,11690.27,11403.32,11410.29,-1.27%,27051M
2023-01-19,11345.18,11388.46,11251.94,11295.67,-1.00%,26002M
2023-01-20,11363.85,11623.20,11329.54,11619.03,2.86%,34398M
2023-01-23,11652.00,11918.86,11617.83,11872.54,2.18%,28973M
2023-01-24,11802.95,11889.37,11780.07,11846.64,-0.22%,21861M
2023-01-25,11636.01,11841.81,11550.07,11814.69,-0.27%,25778M
2023-01-26,11972.57,12055.81,11853.37,12051.48,2.00%,27010M
2023-01-27,12000.21,12248.15,11999.87,12166.60,0.96%,34454M
2023-01-30,12047.16,12087.68,11906.11,11912.39,-2.09%,27871M
2023-01-31,11915.95,12104.13,11915.95,12101.93,1.59%,31687M
2023-02-01,12087.92,12458.88,12010.74,12363.10,2.16%,34960M
2023-02-02,12655.18,12880.98,12600.76,12803.14,3.56%,40680M
2023-02-03,12520.95,12828.71,12520.95,12573.36,-1.79%,34368M
2023-02-06,12468.80,12558.88,12411.88,12464.51,-0.87%,25229M
2023-02-07,12474.95,12771.58,12419.71,12728.27,2.12%,31973M
2023-02-08,12680.03,12709.45,12471.12,12495.38,-1.83%,30697M
2023-02-09,12677.54,12679.54,12327.44,12381.17,-0.91%,31065M
2023-02-10,12306.59,12375.72,12204.21,12304.92,-0.62%,26699M
2023-02-13,12356.50,12522.78,12313.45,12502.31,1.60%,25604M
2023-02-14,12413.10,12627.40,12356.32,12590.89,0.71%,27438M
2023-02-15,12531.60,12689.34,12486.42,12687.89,0.77%,24882M
2023-02-16,12495.07,12653.40,12440.00,12442.48,-1.93%,29455M
2023-02-17,12352.30,12385.52,12233.79,12358.18,-0.68%,26545M
2023-02-21,12205.21,12257.06,12058.23,12060.30,-2.41%,29179M
2023-02-22,12085.67,12156.21,12006.04,12066.27,0.05%,26518M
2023-02-23,12224.44,12227.40,12003.31,12180.14,0.94%,28488M
2023-02-24,11979.80,12018.32,11900.84,11969.65,-1.73%,26345M
2023-02-27,12106.79,12159.64,12034.61,12057.79,0.74%,22591M
