"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2024","2151.25","2157.70","2162.80","2142.50","","0.42%"
"08/20/2024","2142.19","2164.56","2165.35","2138.15","","-1.17%"
"08/19/2024","2167.50","2143.98","2167.51","2143.98","","1.19%"
"08/16/2024","2141.92","2131.17","2149.84","2130.71","","0.30%"
"08/15/2024","2135.47","2117.56","2145.26","2117.56","","2.45%"
"08/14/2024","2084.32","2103.84","2104.71","2077.27","","-0.52%"
"08/13/2024","2095.19","2073.77","2098.70","2068.96","","1.61%"
"08/12/2024","2062.08","2083.05","2085.03","2058.12","","-0.91%"
"08/09/2024","2080.92","2085.50","2086.76","2068.92","","-0.17%"
"08/08/2024","2084.42","2056.90","2084.89","2054.57","","2.42%"
"08/07/2024","2035.11","2088.11","2094.80","2033.96","","-1.41%"
"08/06/2024","2064.30","2045.20","2087.04","2035.52","","1.23%"
"08/05/2024","2039.16","2021.86","2061.74","1993.27","","-3.33%"
"08/02/2024","2109.31","2127.25","2127.25","2090.84","","-3.52%"
"08/01/2024","2186.16","2253.50","2262.73","2171.05","","-3.03%"
"07/31/2024","2254.48","2253.57","2300.00","2242.77","","0.51%"
"07/30/2024","2243.14","2242.44","2255.86","2231.02","","0.35%"
"07/29/2024","2235.33","2265.61","2269.16","2228.17","","-1.09%"
"07/26/2024","2260.07","2247.82","2267.91","2238.67","","1.67%"
"07/25/2024","2222.98","2201.67","2255.71","2199.62","","1.26%"
"07/24/2024","2195.37","2232.84","2246.85","2195.37","","-2.13%"
"07/23/2024","2243.27","2210.65","2253.93","2208.41","","1.02%"
"07/22/2024","2220.65","2191.23","2223.09","2176.48","","1.66%"
"07/19/2024","2184.35","2233.97","2261.16","2179.95","","-0.63%"
"07/18/2024","2198.29","2233.97","2261.16","2189.63","","-1.85%"
"07/17/2024","2239.67","2246.44","2278.13","2236.25","","-1.06%"
"07/16/2024","2263.67","2198.43","2265.21","2198.43","","3.50%"
"07/15/2024","2187.02","2162.00","2198.49","2160.50","","1.80%"
"07/12/2024","2148.27","2139.23","2163.60","2139.23","","1.09%"
"07/11/2024","2125.04","2081.70","2128.55","2081.70","","3.57%"
"07/10/2024","2051.75","2037.08","2051.75","2032.18","","1.10%"
"07/09/2024","2029.47","2035.76","2039.97","2023.92","","-0.45%"
"07/08/2024","2038.67","2038.38","2050.16","2036.55","","0.59%"
"07/05/2024","2026.73","2031.88","2032.51","2019.06","","-0.49%"
"07/03/2024","2036.62","2038.41","2049.40","2035.56","","0.14%"
"07/02/2024","2033.87","2031.07","2037.21","2027.78","","0.19%"
"07/01/2024","2030.07","2050.60","2053.35","2024.41","","-0.86%"
"06/28/2024","2047.69","2050.56","2057.28","2033.70","","0.46%"
"06/27/2024","2038.34","2020.95","2038.47","2020.25","","1.00%"
"06/26/2024","2018.12","2014.18","2020.39","2010.36","","-0.21%"
"06/25/2024","2022.35","2029.66","2029.66","2017.65","","-0.42%"
"06/24/2024","2030.81","2023.23","2043.10","2023.23","","0.43%"
"06/21/2024","2022.03","2016.35","2022.26","2006.85","","0.23%"
"06/20/2024","2017.39","2021.91","2033.28","2012.51","","-0.39%"
"06/18/2024","2025.23","2022.09","2033.55","2020.82","","0.16%"
"06/17/2024","2022.01","2002.57","2024.91","1993.23","","0.79%"
"06/14/2024","2006.16","2020.19","2020.19","1999.02","","-1.61%"
"06/13/2024","2038.91","2053.53","2053.57","2025.64","","-0.88%"
"06/12/2024","2057.10","2065.79","2088.53","2052.17","","1.62%"
"06/11/2024","2024.35","2019.12","2027.53","2006.07","","-0.36%"
"06/10/2024","2031.61","2012.22","2033.65","2008.30","","0.25%"
"06/07/2024","2026.55","2035.12","2043.46","2023.14","","-1.12%"
"06/06/2024","2049.44","2058.48","2060.45","2046.53","","-0.70%"
"06/05/2024","2063.87","2044.15","2063.87","2036.34","","1.47%"
"06/04/2024","2033.94","2050.39","2050.39","2032.14","","-1.25%"
"06/03/2024","2059.68","2082.40","2088.15","2048.06","","-0.50%"
"05/31/2024","2070.13","2061.23","2073.67","2047.40","","0.66%"
"05/30/2024","2056.60","2043.73","2063.19","2043.73","","1.00%"
"05/29/2024","2036.19","2050.46","2050.46","2036.13","","-1.48%"
"05/28/2024","2066.85","2075.72","2086.28","2057.69","","-0.14%"
"05/24/2024","2069.67","2061.00","2070.23","2056.35","","1.04%"
"05/23/2024","2048.41","2089.52","2090.39","2040.68","","-1.60%"
"05/22/2024","2081.71","2093.73","2096.89","2075.78","","-0.79%"
"05/21/2024","2098.35","2097.47","2101.60","2094.02","","-0.20%"
"05/20/2024","2102.50","2096.49","2109.70","2095.00","","0.32%"
"05/17/2024","2095.72","2103.67","2104.13","2090.44","","-0.03%"
"05/16/2024","2096.25","2107.09","2107.36","2095.82","","-0.63%"
"05/15/2024","2109.46","2105.42","2112.32","2095.43","","1.14%"
"05/14/2024","2085.69","2078.74","2088.36","2076.03","","1.14%"
"05/13/2024","2062.12","2072.14","2081.45","2062.12","","0.11%"
"05/10/2024","2059.78","2079.95","2082.04","2054.87","","-0.67%"
"05/09/2024","2073.63","2056.98","2075.38","2053.05","","0.90%"
"05/08/2024","2055.14","2050.78","2055.64","2043.85","","-0.46%"
"05/07/2024","2064.65","2062.16","2077.81","2062.16","","0.19%"
"05/06/2024","2060.67","2048.51","2064.29","2048.51","","1.23%"
"05/03/2024","2035.72","2044.22","2054.85","2030.82","","0.97%"
