date,open,high,low,close,change,volume
2023-01-03,1769.75,1785.95,1737.26,1750.73,-0.60%,0
2023-01-04,1758.09,1781.97,1758.09,1772.54,1.25%,0
2023-01-05,1766.08,1766.08,1745.38,1753.19,-1.09%,0
2023-01-06,1764.33,1795.56,1758.50,1792.80,2.26%,0
2023-01-09,1801.07,1817.09,1794.54,1795.91,0.17%,0
2023-01-10,1794.29,1822.65,1793.19,1822.65,1.49%,0
2023-01-11,1827.12,1844.16,1826.52,1844.05,1.17%,0
2023-01-12,1850.25,1876.06,1839.09,1876.06,1.74%,0
2023-01-13,1867.50,1889.15,1861.74,1887.03,0.58%,0
2023-01-17,1886.64,1892.42,1880.74,1884.29,-0.15%,0
2023-01-18,1890.09,1903.87,1854.32,1854.36,-1.59%,0
2023-01-19,1846.35,1846.35,1825.58,1836.35,-0.97%,0
2023-01-20,1847.68,1867.34,1836.63,1867.34,1.69%,0
2023-01-23,1868.96,1896.20,1867.49,1890.77,1.25%,0
2023-01-24,1887.81,1892.71,1878.33,1885.61,-0.27%,0
2023-01-25,1873.62,1890.73,1858.99,1890.32,0.25%,0
2023-01-26,1899.88,1909.42,1882.71,1903.06,0.67%,0
2023-01-27,1899.82,1918.59,1896.24,1911.46,0.44%,0
2023-01-30,1903.10,1909.34,1885.43,1885.72,-1.35%,0
2023-01-31,1888.83,1931.94,1888.83,1931.94,2.45%,0
2023-02-01,1929.47,1976.87,1921.52,1960.81,1.49%,0
2023-02-02,1968.03,2007.31,1968.03,2001.22,2.06%,0
2023-02-03,1989.12,2005.55,1976.06,1985.53,-0.78%,0
2023-02-06,1976.09,1976.09,1952.19,1957.72,-1.40%,0
2023-02-07,1952.65,1975.83,1936.33,1972.61,0.76%,0
2023-02-08,1964.89,1968.92,1940.29,1942.60,-1.52%,0
2023-02-09,1954.88,1963.85,1912.24,1915.34,-1.40%,0
2023-02-10,1910.66,1920.85,1903.72,1918.81,0.18%,0
2023-02-13,1919.89,1942.70,1913.60,1941.14,1.16%,0
2023-02-14,1933.90,1951.98,1920.50,1939.91,-0.06%,0
2023-02-15,1929.73,1960.97,1924.91,1960.97,1.09%,0
2023-02-16,1946.05,1962.46,1933.14,1942.21,-0.96%,0
2023-02-17,1943.64,1947.85,1928.39,1946.36,0.21%,0
2023-02-21,1937.05,1937.05,1888.21,1888.21,-2.99%,0
2023-02-22,1890.83,1904.48,1885.11,1894.68,0.34%,0
2023-02-23,1902.72,1915.31,1884.31,1908.09,0.71%,0
2023-02-24,1891.38,1891.62,1875.81,1890.49,-0.92%,0
2023-02-27,1902.00,1914.60,1891.89,1896.27,0.31%,0
2023-02-28,1896.70,1913.18,1896.44,1896.99,0.04%,0
2023-03-01,1896.14,1904.44,1888.73,1898.43,0.08%,0
2023-03-02,1888.43,1905.35,1877.58,1902.66,0.22%,0
2023-03-03,1906.46,1931.71,1901.98,1928.26,1.35%,0
2023-03-06,1928.08,1928.70,1892.46,1899.76,-1.48%,0
2023-03-07,1899.24,1902.11,1875.79,1878.72,-1.11%,0
2023-03-08,1880.27,1886.54,1866.07,1879.48,0.04%,0
2023-03-09,1879.22,1883.02,1826.29,1826.59,-2.81%,0
2023-03-10,1821.68,1821.68,1756.82,1772.70,-2.95%,0
2023-03-13,1755.04,1773.53,1722.85,1744.30,-1.60%,0
2023-03-14,1770.65,1802.12,1760.08,1776.89,1.87%,0
2023-03-15,1763.72,1763.72,1716.67,1745.94,-1.74%,0
2023-03-16,1733.50,1781.10,1717.59,1771.24,1.45%,0
2023-03-17,1765.16,1765.16,1720.92,1725.89,-2.56%,0
2023-03-20,1733.51,1761.74,1733.51,1744.99,1.11%,0
2023-03-21,1761.87,1788.37,1761.87,1777.74,1.88%,0
2023-03-22,1776.51,1779.72,1726.61,1727.36,-2.83%,0
2023-03-23,1733.50,1758.91,1706.34,1720.29,-0.41%,0
2023-03-24,1711.45,1735.76,1695.23,1734.92,0.85%,0
2023-03-27,1747.93,1762.65,1742.06,1753.67,1.08%,0
2023-03-28,1749.63,1759.47,1745.13,1752.63,-0.06%,0
2023-03-29,1763.13,1771.71,1759.05,1771.60,1.08%,0
2023-03-30,1778.68,1787.64,1762.34,1768.38,-0.18%,0
2023-03-31,1775.05,1802.70,1775.05,1802.48,1.93%,0
2023-04-03,1804.02,1812.37,1783.47,1802.31,-0.01%,0
2023-04-04,1804.48,1806.70,1760.99,1769.65,-1.81%,0
2023-04-05,1764.22,1764.22,1742.78,1752.13,-0.99%,0
2023-04-06,1753.11,1758.43,1744.50,1754.46,0.13%,0
2023-04-10,1749.31,1773.23,1745.46,1772.44,1.02%,0
2023-04-11,1776.90,1794.45,1776.90,1786.59,0.80%,0
2023-04-12,1793.66,1803.19,1772.39,1773.70,-0.72%,0
2023-04-13,1778.47,1800.64,1778.47,1796.68,1.30%,0
2023-04-14,1798.15,1805.02,1770.56,1781.15,-0.86%,0
2023-04-17,1784.38,1802.84,1784.12,1802.84,1.22%,0
2023-04-18,1807.24,1809.59,1787.00,1795.55,-0.40%,0
