"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2024","5597.12","5602.88","5620.51","5585.50","","-0.20%"
"08/21/2024","5598.41","5609.00","5633.22","5597.91","","0.02%"
"08/19/2024","5608.25","5557.23","5608.30","5550.74","","0.97%"
"08/16/2024","5554.25","5530.50","5561.98","5525.17","","0.20%"
"08/15/2024","5543.22","5501.13","5546.23","5501.13","","1.61%"
"08/14/2024","5455.21","5442.36","5463.22","5415.91","","0.38%"
"08/13/2024","5434.43","5376.98","5436.50","5376.98","","1.68%"
"08/12/2024","5344.39","5351.88","5371.20","5324.37","","0.00%"
"08/09/2024","5344.16","5314.66","5358.67","5300.84","","0.47%"
"08/08/2024","5319.31","5252.57","5328.03","5233.85","","2.30%"
"08/07/2024","5199.50","5293.13","5330.64","5195.54","","-0.77%"
"08/06/2024","5240.03","5206.42","5312.34","5193.56","","1.04%"
"08/05/2024","5186.33","5151.14","5250.89","5119.26","","-3.00%"
"08/02/2024","5346.56","5376.63","5383.89","5302.03","","-1.84%"
"08/01/2024","5446.68","5537.84","5566.16","5410.42","","-1.37%"
"07/31/2024","5522.30","5505.59","5551.51","5493.75","","1.58%"
"07/30/2024","5436.44","5478.73","5489.46","5401.70","","-0.50%"
"07/29/2024","5463.54","5476.55","5487.74","5444.44","","0.08%"
"07/26/2024","5459.10","5433.67","5488.32","5430.70","","1.11%"
"07/25/2024","5399.22","5428.70","5491.59","5390.95","","-0.51%"
"07/24/2024","5427.13","5505.84","5508.04","5419.98","","-2.31%"
"07/23/2024","5555.74","5565.30","5585.34","5550.90","","-0.16%"
"07/22/2024","5564.41","5544.54","5570.36","5529.04","","1.08%"
"07/19/2024","5505.00","5543.37","5557.50","5497.04","","-0.71%"
"07/18/2024","5544.59","5608.56","5614.05","5522.81","","-0.78%"
"07/17/2024","5588.27","5610.07","5622.49","5584.81","","-1.39%"
"07/16/2024","5667.20","5644.09","5669.67","5639.02","","0.64%"
"07/15/2024","5631.22","5638.16","5666.94","5614.75","","0.28%"
