date,open,high,low,close,adjusted_close,volume
2024-02-12,156.58,158.41,156.35,157.85,154.2337,6701500
2024-02-13,157.64,158.45,155.75,156.47,152.8853,8621000
2024-02-14,156.35,156.46,154.84,155.74,152.172,9098800
2024-02-15,155.98,158.48,155.89,157.92,154.3021,7462500
2024-02-16,156.6,157.26,155.67,156.55,154.1249,8540700
2024-02-20,156.56,158.61,156.44,157.86,155.4146,9501700
2024-02-21,158.02,158.69,157.13,158.68,156.2219,7473300
2024-02-22,158.98,160.74,157.77,160.45,157.9644,8065000
2024-02-23,160.88,162.25,160.16,161.84,159.3329,6726000
2024-02-26,161.8,162.01,160.57,160.79,158.2992,5465400
2024-02-27,160.34,161.04,159.64,160.98,158.4862,5078600
2024-02-28,161.0,161.61,160.29,161.55,159.0474,6071100
2024-02-29,162.0,162.19,160.94,161.38,158.88,9849100
2024-03-01,161.83,162.57,161.09,162.12,159.6086,5668000
2024-03-04,161.32,161.61,158.27,159.84,157.3639,8532900
2024-03-05,160.62,161.24,159.2,159.97,157.4919,8298200
2024-03-06,159.46,160.93,159.22,159.34,156.8716,5773700
2024-03-07,160.0,160.36,158.24,158.87,156.4089,5188700
2024-03-08,158.87,160.39,158.43,159.52,157.0488,5283200
2024-03-11,159.49,161.32,158.88,161.23,158.7324,4620800
2024-03-12,161.58,163.11,161.13,162.74,160.219,8018700
2024-03-13,162.53,162.68,159.81,161.1,158.6044,6260000
2024-03-14,160.94,161.54,158.69,159.21,156.7436,6988300
2024-03-15,158.06,159.19,157.1,158.18,155.7296,13165500
2024-03-18,158.57,158.69,156.5,156.76,154.3316,6602300
2024-03-19,156.67,156.86,155.66,156.21,153.7901,7840600
2024-03-20,155.7,156.44,155.21,155.76,153.3471,5982300
2024-03-21,155.59,156.95,155.1,155.75,153.3372,5915800
2024-03-22,155.69,156.36,155.11,155.23,152.8253,7245400
2024-03-25,155.4,155.98,154.9,155.22,152.8155,7498100
2024-03-26,155.61,156.23,154.76,155.77,153.3569,6864100
2024-03-27,155.99,158.22,155.44,157.96,155.513,8461600
2024-03-28,158.2,159.14,158.11,158.19,155.7395,6181500
2024-04-01,157.72,158.15,156.77,157.78,155.3358,4364700
2024-04-02,156.57,157.83,155.95,157.73,155.2866,6102300
2024-04-03,157.79,158.05,154.25,154.26,151.8703,8098200
2024-04-04,155.31,155.5,152.41,152.5,150.1376,6947400
2024-04-05,152.03,153.01,151.61,152.39,150.0293,6778100
2024-04-08,151.99,153.04,151.56,151.59,149.2417,5935400
2024-04-09,151.55,152.53,150.94,152.29,149.9308,6135600
2024-04-10,151.53,151.82,149.76,150.2,147.8732,6809500
2024-04-11,150.8,150.87,148.39,148.79,146.4851,8374400
2024-04-12,148.06,149.07,147.15,147.52,145.2347,7097500
2024-04-15,148.37,149.49,147.37,147.59,145.3037,8502300
2024-04-16,145.01,146.25,143.39,144.45,142.2123,12774900
2024-04-17,145.0,145.41,143.54,144.77,142.5273,9378100
2024-04-18,144.98,145.8,143.13,145.74,143.4823,9887700
2024-04-19,146.15,148.13,144.54,147.91,145.6187,9747700
2024-04-22,148.51,150.27,147.3,149.12,146.81,10118700
2024-04-23,149.86,150.49,148.2,149.56,147.2431,10110400
2024-04-24,148.14,148.99,146.86,148.53,146.2291,9756300
2024-04-25,149.37,149.58,146.33,146.82,144.5456,7642700
2024-04-26,146.7,147.18,145.95,146.14,143.8761,6183000
2024-04-29,146.14,147.22,145.99,146.82,144.5456,6149600
2024-04-30,146.88,146.88,144.53,144.59,142.3501,8817700
2024-05-01,148.74,151.85,147.62,151.18,148.838,14470900
2024-05-02,152.04,152.33,149.14,149.92,147.5976,8459800
2024-05-03,149.89,149.89,147.82,149.27,146.9576,6532700
2024-05-06,149.87,150.05,147.91,148.58,146.2783,5042800
2024-05-07,149.38,149.73,148.45,148.72,146.4162,7333500
2024-05-08,149.12,149.73,148.7,148.95,146.6426,7735100
2024-05-09,148.98,150.1,148.89,149.85,147.5286,6546200
2024-05-10,150.0,150.09,149.19,149.91,147.5877,5710600
2024-05-13,150.04,152.0,149.71,151.22,148.8774,5628500
2024-05-14,151.85,152.21,150.7,151.38,149.0349,8254200
2024-05-15,151.82,152.95,151.3,152.67,150.305,5548000
