date,open,high,low,close,adjusted_close,volume
2024-02-12,174.78,176.808,173.7,175.79,173.8075,8539316
2024-02-13,175.32,176.2299,172.615,174.26,172.2947,8397631
2024-02-14,175.07,176.1,174.42,176.03,174.0448,7056664
2024-02-15,176.15,180.21,176.15,179.87,177.8414,8723390
2024-02-16,179.61,179.98,178.16,179.03,177.0109,8152647
2024-02-20,179.19,180.46,178.405,179.73,177.703,9667959
2024-02-21,179.95,180.99,178.52,180.9,178.8598,7027857
2024-02-22,181.82,183.42,181.24,183.07,181.0054,9296459
2024-02-23,183.81,185.2,183.19,183.99,181.915,7105833
2024-02-26,183.75,184.46,182.48,183.36,181.2921,7145391
2024-02-27,183.31,183.54,182.24,183.45,181.3811,5717065
2024-02-28,183.43,185.2,182.96,184.38,182.3006,6131608
2024-02-29,185.66,186.43,183.85,186.06,183.9616,9643012
2024-03-01,185.7,186.44,185.1,185.29,183.2003,6311996
2024-03-04,184.71,187.59,184.27,186.68,184.5746,7063605
2024-03-05,186.36,189.3,186.36,188.55,186.4236,6617832
2024-03-06,189.25,190.07,187.63,189.53,187.3925,7572891
2024-03-07,189.91,190.5,186.63,187.87,185.7512,7618277
2024-03-08,188.44,190.455,187.92,188.22,186.0973,6172199
2024-03-11,187.28,188.44,186.22,188.29,186.1665,5762569
2024-03-12,188.95,190.16,187.91,189.84,187.699,5708384
2024-03-13,190.36,191.73,189.84,191.38,189.2216,7795535
2024-03-14,191.03,191.63,187.103,187.97,185.8501,10310950
2024-03-15,186.48,190.94,186.48,190.3,188.1538,17214230
2024-03-18,190.63,192.7,189.89,192.66,190.4872,9013843
2024-03-19,192.71,193.93,192.38,193.79,191.6045,8478717
2024-03-20,194.19,196.56,193.61,196.33,194.1158,9367043
2024-03-21,196.52,199.43,196.33,199.06,196.815,11203800
2024-03-22,199.01,200.48,196.54,196.62,194.4025,8108840
2024-03-25,196.6,196.94,194.36,194.82,192.6228,8620015
2024-03-26,194.59,196.66,194.0554,195.73,193.5226,5961484
2024-03-27,196.5,199.6,196.38,199.52,197.2698,8725757
2024-03-28,199.49,200.72,198.54,200.3,198.041,8628313
2024-04-01,199.99,200.94,198.565,198.94,196.6964,7309009
2024-04-02,198.39,199.78,198.08,198.86,196.6173,7014683
2024-04-03,199.04,199.56,197.7,198.3,196.0636,9353426
2024-04-04,199.15,199.68,195.55,195.65,194.5719,9243793
2024-04-05,196.16,198.1224,195.11,197.45,196.3619,6532278
2024-04-08,197.62,198.98,197.62,198.48,197.3863,8000963
2024-04-09,198.07,198.88,194.91,197.15,196.0636,7358631
2024-04-10,195.55,197.07,194.18,195.47,194.3928,7681377
2024-04-11,196.0,196.57,193.24,195.43,194.3531,10137700
2024-04-12,188.32,188.93,182.54,182.79,181.7827,31532311
2024-04-15,184.5,187.46,182.195,182.89,181.8822,14766590
2024-04-16,182.9,183.16,179.65,180.8,179.8037,16451801
2024-04-17,181.37,182.4199,179.2,180.08,179.0877,9017093
2024-04-18,181.1,183.36,179.97,181.25,180.2512,9557720
2024-04-19,182.4,185.88,181.41,185.8,184.7761,13402310
2024-04-22,185.99,190.125,185.98,189.41,188.3662,11529670
2024-04-23,191.13,192.225,190.52,192.14,191.0812,9144372
2024-04-24,190.53,193.23,190.17,193.08,192.016,6964905
2024-04-25,192.25,193.935,191.18,193.37,192.3044,9802265
2024-04-26,193.57,194.87,193.06,193.49,192.4238,6413655
2024-04-29,193.48,194.26,192.43,193.28,192.2149,5411129
2024-04-30,192.81,194.99,191.64,191.74,190.6834,8153681
2024-05-01,192.27,194.46,190.79,191.86,190.8027,7446703
2024-05-02,193.07,193.5,189.52,191.66,190.6038,6501657
2024-05-03,192.0,192.529,188.46,190.51,189.4602,8922775
2024-05-06,191.73,192.2,189.815,192.0,190.942,7911134
2024-05-07,191.7,192.93,191.65,191.75,190.6933,7688771
2024-05-08,191.0,196.65,191.0,195.65,194.5719,9227561
2024-05-09,195.17,197.59,195.1,197.5,196.4117,7977291
2024-05-10,198.54,199.3399,198.27,198.77,197.6747,7529790
2024-05-13,198.8,199.85,198.04,198.73,197.6349,7049241
2024-05-14,199.0,201.58,198.16,201.51,200.3996,8596175
2024-05-15,202.01,202.69,199.77,202.11,200.9963,8369975
