date,open,high,low,close,adjusted_close,volume
2024-02-12,740.8,740.8,726.45,737.26,733.6925,2932300
2024-02-13,730.18,742.98,730.18,742.97,739.3749,2860300
2024-02-14,745.82,764.05,745.0,757.31,754.9665,3394300
2024-02-15,755.8,762.99,750.01,757.78,755.435,2507000
2024-02-16,771.03,794.47,763.5,782.06,779.6399,5000700
2024-02-20,790.0,793.38,753.2,755.66,753.3216,4701100
2024-02-21,738.08,749.5,733.24,745.91,743.6017,3548700
2024-02-22,763.58,775.12,756.27,769.64,767.2583,3167400
2024-02-23,774.0,777.65,762.26,769.54,767.1586,2394800
2024-02-26,771.3,780.22,769.12,771.92,769.5312,2243800
2024-02-27,754.9,772.95,745.44,765.0,762.6327,2716700
2024-02-28,762.25,763.0,751.66,757.64,755.2954,2716300
2024-02-29,753.08,756.46,744.03,753.68,751.3477,3905400
2024-03-01,769.02,784.08,764.13,782.12,779.6997,4240500
2024-03-04,796.44,800.78,786.16,792.28,789.8282,3855600
2024-03-05,785.31,788.53,769.28,777.59,775.1837,3168700
2024-03-06,784.29,787.85,774.0,779.77,777.3569,2518600
2024-03-07,771.84,792.99,761.12,780.16,777.7457,3977400
2024-03-08,780.0,780.0,755.0,762.14,759.7815,4042900
2024-03-11,752.21,756.8,727.62,734.37,732.0974,3968900
2024-03-12,740.96,755.97,738.01,754.95,752.6138,2701700
2024-03-13,757.0,760.77,745.71,757.84,755.4948,2357500
2024-03-14,764.95,768.0,749.4,760.73,758.3759,2647500
2024-03-15,755.38,760.89,747.71,754.17,751.8362,3729300
2024-03-18,762.28,769.68,758.25,762.66,760.2999,2521400
2024-03-19,758.44,773.85,755.0,772.78,770.3886,2557100
2024-03-20,770.11,773.16,756.64,772.86,770.4683,2038000
2024-03-21,774.0,780.54,758.88,770.26,767.8764,3013200
2024-03-22,770.0,777.0,767.28,770.61,768.2253,1979700
2024-03-25,771.1,778.49,768.15,773.14,770.7475,1806600
2024-03-26,774.2,778.33,769.0,774.9,772.502,2099000
2024-03-27,778.71,785.26,767.38,778.18,775.7719,2297700
2024-03-28,780.32,793.67,776.44,777.96,775.5525,3209400
2024-04-01,776.0,777.5,753.82,760.55,758.1964,2921300
2024-04-02,755.07,765.07,753.5,763.96,761.5959,2596800
2024-04-03,765.69,787.25,765.41,775.99,773.5886,3044900
2024-04-04,781.54,787.9,767.82,768.08,765.7031,2354000
2024-04-05,765.47,786.71,763.09,784.21,781.7832,2111900
2024-04-08,785.02,785.2,773.35,777.29,774.8846,1664200
2024-04-09,777.64,777.82,750.65,757.24,754.8967,2464800
2024-04-10,751.28,765.26,746.83,761.98,759.622,1700300
2024-04-11,759.78,763.33,750.67,759.59,757.2394,1594800
2024-04-12,759.57,763.5,749.79,751.64,749.314,2490000
2024-04-15,760.07,768.0,749.52,750.77,748.4467,2358600
2024-04-16,751.68,753.14,743.0,746.74,744.4292,2569800
2024-04-17,759.2,771.83,744.88,750.77,748.4467,3069400
2024-04-18,749.42,752.2,743.77,745.95,743.6416,1717300
2024-04-19,749.16,750.01,722.07,726.31,724.0624,3503900
2024-04-22,729.74,737.88,725.42,731.33,729.0668,2354100
2024-04-23,741.2,746.16,731.44,745.69,743.3824,2042000
2024-04-24,752.64,752.64,728.79,732.2,729.9342,2133400
2024-04-25,725.0,727.99,718.3,724.87,722.6268,2608800
2024-04-26,723.48,737.45,721.0,733.51,731.2401,2009200
2024-04-29,735.75,740.58,729.61,737.2,734.9187,2665600
2024-04-30,775.0,795.5,767.66,781.1,778.6828,7437100
2024-05-01,774.76,782.61,768.25,776.75,774.3463,2802100
2024-05-02,777.34,777.34,754.29,755.91,753.5708,3205600
2024-05-03,743.0,745.0,730.34,734.97,732.6956,4595100
2024-05-06,738.04,766.99,736.0,766.68,764.3075,3398300
2024-05-07,768.9,779.09,762.11,777.77,775.3631,2879400
2024-05-08,779.1,781.35,772.2,775.0,772.6017,2089800
2024-05-09,777.0,784.0,769.2,771.55,769.1624,2522100
2024-05-10,774.02,777.42,760.0,760.0,757.6481,2082300
2024-05-13,763.5,763.55,750.53,757.7,755.3552,1848900
