date,open,high,low,close,adjusted_close,volume
2024-02-12,420.56,420.74,414.75,415.26,413.0028,21202900
2024-02-13,404.94,410.07,403.39,406.32,404.1114,27824900
2024-02-14,408.07,409.84,404.57,409.49,408.0173,20401200
2024-02-15,408.14,409.13,404.29,406.56,405.0979,21825500
2024-02-16,407.96,408.29,403.44,404.06,402.6068,22281100
2024-02-20,403.24,404.49,398.01,402.79,401.3414,24307900
2024-02-21,400.17,402.29,397.22,402.18,400.7336,18631100
2024-02-22,410.19,412.83,408.57,411.65,410.1695,27009900
2024-02-23,415.67,415.86,408.97,410.34,408.8643,16295900
2024-02-26,411.46,412.16,407.36,407.54,406.0743,16193500
2024-02-27,407.99,408.32,403.85,407.48,406.0145,14835800
2024-02-28,408.18,409.3,405.32,407.72,406.2537,13183100
2024-02-29,408.64,414.2,405.92,413.64,412.1524,31947300
2024-03-01,411.27,415.87,410.88,415.5,414.0057,17800300
2024-03-04,413.44,417.35,412.32,414.92,413.4278,17596000
2024-03-05,413.96,414.25,400.64,402.65,401.2019,26919200
2024-03-06,402.97,405.16,398.39,402.09,400.6439,22344100
2024-03-07,406.12,409.78,402.24,409.14,407.6686,18718500
2024-03-08,407.96,410.42,404.33,406.22,404.7591,17971700
2024-03-11,403.76,405.68,401.26,404.52,403.0652,16120800
2024-03-12,407.62,415.57,406.79,415.28,413.7865,22457000
2024-03-13,418.1,418.18,411.45,415.1,413.6071,17115900
2024-03-14,420.24,427.82,417.99,425.22,423.6907,34157300
2024-03-15,419.29,422.6,412.79,416.42,414.9224,45049800
2024-03-18,414.25,420.73,413.78,417.32,415.8192,20106000
2024-03-19,417.83,421.67,415.55,421.41,419.8944,19837900
2024-03-20,422.0,425.96,420.66,425.23,423.7007,17860100
2024-03-21,429.83,430.82,427.16,429.37,427.8258,21296200
2024-03-22,429.7,429.86,426.07,428.74,427.1981,17636500
2024-03-25,425.24,427.41,421.61,422.86,421.3392,18060500
2024-03-26,425.61,425.99,421.35,421.65,420.1336,16725600
2024-03-27,424.44,424.45,419.01,421.43,419.9144,16705000
2024-03-28,420.96,421.87,419.12,420.72,419.2069,21871200
2024-04-01,423.95,427.89,422.22,424.57,423.0431,16316000
2024-04-02,420.11,422.38,417.84,421.44,419.9243,17912000
2024-04-03,419.73,423.26,419.09,420.45,418.9379,16502300
2024-04-04,424.99,428.67,417.57,417.88,416.3771,19370900
2024-04-05,420.01,426.51,418.32,425.52,423.9897,16544300
2024-04-08,425.17,427.28,423.3,424.59,423.063,14272400
2024-04-09,426.44,427.74,421.62,426.28,424.7469,12512300
2024-04-10,422.19,424.03,419.7,423.26,421.7378,16216600
2024-04-11,425.82,429.37,422.36,427.93,426.391,17966400
2024-04-12,424.05,425.18,419.77,421.9,420.3827,19232100
2024-04-15,426.6,426.82,413.43,413.64,412.1524,20273500
2024-04-16,414.57,418.4,413.73,414.58,413.089,16765600
2024-04-17,417.25,418.88,410.33,411.84,410.3589,15855500
2024-04-18,410.63,411.89,403.95,404.27,402.8161,21029900
2024-04-19,404.03,405.48,397.77,399.12,397.6846,30276500
2024-04-22,400.08,402.85,395.75,400.96,399.518,20286900
2024-04-23,404.24,408.2,403.06,407.57,406.1042,15734500
2024-04-24,409.56,412.47,406.78,409.06,407.5889,15065300
2024-04-25,394.03,399.89,388.03,399.04,397.6049,40586500
2024-04-26,412.17,413.0,405.76,406.32,404.8587,29694700
2024-04-29,405.25,406.32,399.19,402.25,400.8034,19582100
2024-04-30,401.49,402.16,389.17,389.33,387.9298,28781400
2024-05-01,392.61,401.72,390.31,394.94,393.5196,23562500
2024-05-02,397.66,399.93,394.65,397.84,396.4092,17709400
2024-05-03,402.28,407.15,401.86,406.66,405.1975,17446700
2024-05-06,408.76,413.93,406.37,413.54,412.0528,16996600
2024-05-07,414.66,414.67,409.09,409.34,407.8679,20018200
2024-05-08,408.17,412.23,406.71,410.54,409.0635,11792300
2024-05-09,410.57,412.72,409.1,412.32,410.8371,14689700
2024-05-10,412.94,415.38,411.8,414.74,413.2484,13402300
2024-05-13,418.01,418.35,410.82,413.72,412.2321,15440200
2024-05-14,412.02,417.49,411.55,416.56,415.0619,15109300
2024-05-15,417.9,423.81,417.27,423.08,422.3188,22239500
