date,open,high,low,close,adjusted_close,volume
2024-02-12,56.59,57.63,56.5,57.55,55.9216,9622014
2024-02-13,56.88,57.14,54.665,55.25,53.6867,12759750
2024-02-14,55.39,56.065,55.09,56.01,54.4252,8831274
2024-02-15,56.3,57.66,56.22,57.27,55.6495,9880017
2024-02-16,56.86,57.42,56.33,57.03,55.4163,9943508
2024-02-20,56.74,57.315,56.05,56.61,55.0082,13014550
2024-02-21,57.02,57.335,56.64,57.1,55.4843,9322699
2024-02-22,56.79,57.075,56.321,56.67,55.0665,10425980
2024-02-23,56.8,57.46,56.51,56.78,55.1734,10563930
2024-02-26,55.9,55.9255,54.86,55.15,54.08,12753830
2024-02-27,55.44,55.985,54.79,55.56,54.4821,12421770
2024-02-28,55.35,55.72,54.71,55.04,53.9722,13240400
2024-02-29,55.49,55.86,54.964,55.19,54.1192,19993609
2024-03-01,55.26,55.62,54.28,55.21,54.1389,15398190
2024-03-04,54.78,55.07,53.95,54.97,53.9035,11674600
2024-03-05,55.0,56.505,54.95,55.4,54.3252,16026130
2024-03-06,55.98,56.91,55.26,55.53,54.4526,11074910
2024-03-07,56.08,56.47,55.53,56.25,55.1587,10227280
2024-03-08,56.72,58.16,56.31,57.81,56.6884,12735610
2024-03-11,57.57,58.14,56.89,57.87,56.7472,9681500
2024-03-12,57.67,58.0,56.5503,57.15,56.0412,9634415
2024-03-13,59.0,60.37,58.95,59.54,58.3848,17495260
2024-03-14,59.2,60.24,59.11,59.54,58.3848,16996070
2024-03-15,59.2,60.13,58.875,60.08,58.9144,32424619
2024-03-18,60.08,61.135,59.44,60.17,59.0026,17073650
2024-03-19,60.385,61.385,60.2608,61.27,60.0813,11433880
2024-03-20,61.45,62.41,61.36,62.2,60.9932,14564500
2024-03-21,62.2,63.385,61.29,61.36,60.1695,18090250
2024-03-22,62.22,62.49,61.72,61.78,60.5814,10046340
2024-03-25,62.0,62.64,61.405,62.61,61.3953,11423470
2024-03-26,62.62,62.91,61.3,61.43,60.2382,13829570
2024-03-27,62.16,63.855,62.02,63.79,62.5524,13409040
2024-03-28,63.67,64.26,63.39,63.91,62.6701,12830840
2024-04-01,63.91,64.045,62.76,63.38,62.1503,13175190
2024-04-02,63.27,63.34,62.3557,62.88,61.66,9905331
2024-04-03,62.69,62.99,61.855,62.55,61.3364,10551440
2024-04-04,63.35,63.975,62.97,63.73,62.4936,10690080
2024-04-05,63.05,64.355,62.9,64.18,62.9348,10278090
2024-04-08,64.15,64.92,63.93,64.86,63.6016,8054868
2024-04-09,65.15,65.8562,64.79,65.38,64.1115,9188529
2024-04-10,63.5,64.24,63.0,64.01,62.7681,10783390
2024-04-11,64.63,64.79,63.315,63.94,62.6995,12145600
2024-04-12,64.12,64.31,62.95,63.08,61.8562,9039494
2024-04-15,63.53,64.33,62.3,62.75,61.5326,11147110
2024-04-16,62.49,62.58,61.31,61.7,60.5029,11594120
2024-04-17,62.24,63.92,61.92,63.79,62.5524,15653740
2024-04-18,63.85,64.39,63.13,64.01,62.7681,10134980
2024-04-19,64.22,64.9,63.645,64.3,63.0525,13419420
2024-04-22,64.59,65.485,63.92,65.31,64.0429,14747200
2024-04-23,65.24,67.17,65.1,66.2,64.9156,14349200
2024-04-24,65.91,67.1,65.22,66.56,65.2686,12149630
2024-04-25,66.0,67.12,65.51,66.9,65.6021,11418540
2024-04-26,67.22,67.3,65.75,65.99,64.7097,9982762
2024-04-29,67.015,67.91,66.96,67.42,66.112,9911004
2024-04-30,66.9,67.485,66.27,66.97,65.6707,10042560
2024-05-01,66.87,68.86,66.74,68.61,67.2789,13993000
2024-05-02,68.88,69.015,67.67,68.85,67.5142,10815920
2024-05-03,69.89,70.28,69.31,70.14,68.7792,12687500
2024-05-06,70.36,71.3,70.26,71.25,69.8677,14042120
2024-05-07,71.69,72.04,71.31,71.95,70.5541,13621060
2024-05-08,71.7,72.89,71.48,72.85,71.4366,9914979
2024-05-09,73.0,74.73,72.58,74.58,73.133,16627900
2024-05-10,74.87,75.21,73.65,73.79,72.3584,12046750
2024-05-13,74.14,74.67,73.59,74.58,73.133,7685511
2024-05-14,74.94,75.61,74.66,75.42,73.9568,8176616
2024-05-15,75.97,77.19,75.97,77.05,75.5551,12470580
2024-05-16,77.06,77.41,76.06,76.41,74.9275,10414250
2024-05-17,76.35,76.55,75.54,76.09,74.6138,9490319
