date,open,high,low,close,adjusted_close,volume
2024-02-12,133.0,134.23,131.8,132.05,129.0,2523834
2024-02-13,128.75,130.99,127.235,130.88,127.857,4759062
2024-02-14,130.94,131.82,129.23,130.5,127.4858,4294108
2024-02-15,131.7,133.19,131.7,133.1,130.0257,3409249
2024-02-16,131.94,134.175,131.325,133.39,130.309,3421275
2024-02-20,132.35,133.94,131.57,133.35,130.2699,2995336
2024-02-21,133.24,134.49,133.03,133.42,130.3383,2436381
2024-02-22,133.51,134.835,132.98,133.44,130.3579,2946963
2024-02-23,133.48,134.2,133.05,133.21,130.1332,2131842
2024-02-26,132.82,133.2198,131.53,132.56,129.4982,2000472
2024-02-27,133.25,134.4599,131.745,132.49,129.4298,2976954
2024-02-28,132.02,135.11,131.93,133.99,130.8951,2478789
2024-02-29,135.08,135.7,133.0,133.27,130.1918,5131520
2024-03-01,133.04,134.73,130.23,134.6,131.4911,2786529
2024-03-04,134.26,134.6,130.96,133.61,130.5239,3316342
2024-03-05,133.05,133.72,131.78,132.44,129.381,2328916
2024-03-06,133.12,133.86,132.42,133.08,130.0062,2245496
2024-03-07,134.04,134.56,131.97,132.74,129.674,2080373
2024-03-08,133.74,135.425,133.43,135.07,131.9502,2942184
2024-03-11,134.69,135.76,133.15,134.12,131.0221,2068933
2024-03-12,133.6,135.0,132.79,134.57,131.4618,1729215
2024-03-13,134.71,135.27,132.7,133.33,130.2504,3061369
2024-03-14,132.91,133.175,129.5,130.75,127.73,3076112
2024-03-15,127.81,130.29,127.38,129.02,126.9722,6698774
2024-03-18,128.8,129.81,127.88,128.14,126.1062,2274319
2024-03-19,128.08,128.85,126.96,127.85,125.8208,2641202
2024-03-20,127.2,129.29,126.68,128.7,126.6573,2565797
2024-03-21,128.97,130.425,128.31,129.89,127.8284,3020095
2024-03-22,130.2,130.2,128.01,128.62,126.5786,2738532
2024-03-25,128.9,128.9447,127.11,127.13,125.1122,2472691
2024-03-26,126.52,127.065,125.07,125.14,123.1538,3567260
2024-03-27,126.92,129.09,126.84,128.86,126.8147,3202226
2024-03-28,129.41,130.54,129.1,130.22,128.1532,3676095
2024-04-01,130.22,130.77,127.445,127.92,125.8897,1762975
2024-04-02,126.88,127.15,124.84,125.58,123.5868,3187442
2024-04-03,125.07,126.66,124.62,126.09,124.0887,3585007
2024-04-04,128.24,128.708,124.3244,124.69,122.7109,4335834
2024-04-05,124.03,124.92,123.25,124.74,122.7601,5099653
2024-04-08,125.22,126.29,124.74,126.17,124.1674,2821583
2024-04-09,126.37,126.8,125.59,126.26,124.256,2965964
2024-04-10,121.79,122.08,119.12,120.62,118.7055,4753185
2024-04-11,121.22,122.31,118.89,120.25,118.3414,4098164
2024-04-12,119.99,120.47,118.5,119.0,117.1112,3735258
2024-04-15,119.92,119.98,115.19,115.79,113.9522,3993845
2024-04-16,115.63,115.92,113.97,114.74,112.9189,5666402
2024-04-17,108.7,111.5,105.56,106.49,104.7998,11034010
2024-04-18,105.96,106.285,103.6,104.69,103.0284,6310394
2024-04-19,104.64,104.87,102.52,103.49,101.8474,6932203
2024-04-22,103.8,104.565,102.545,104.08,102.4281,3673089
2024-04-23,104.54,105.61,104.0692,104.83,103.1661,4232302
2024-04-24,103.78,104.59,102.4,103.18,101.5423,4819689
2024-04-25,102.01,104.0727,101.64,103.35,101.7096,3798836
2024-04-26,103.43,104.63,102.76,104.06,102.4084,4037744
2024-04-29,105.46,105.57,104.16,105.01,103.3433,2872980
2024-04-30,102.51,104.01,102.0,102.05,100.4303,5608029
2024-05-01,101.86,104.13,101.625,101.88,100.263,5526239
2024-05-02,103.81,104.57,101.11,104.53,102.8709,5836385
2024-05-03,106.75,108.08,105.3979,105.89,104.2093,3517673
2024-05-06,106.38,106.615,104.2,104.67,103.0087,4259861
2024-05-07,106.48,107.99,105.48,107.76,106.0496,4088211
2024-05-08,106.95,107.33,105.3,105.88,104.1995,2947737
2024-05-09,106.5,108.36,106.04,108.15,106.4335,4208775
2024-05-10,108.455,108.51,106.98,107.49,105.7839,2872799
2024-05-13,108.32,109.01,107.205,107.68,105.9709,3043080
2024-05-14,108.855,109.86,108.04,108.28,106.5614,3727358
2024-05-15,110.6,111.48,109.37,109.99,108.2442,4347618
2024-05-16,110.55,111.9,110.195,110.79,109.0316,4232353
2024-05-17,111.13,111.54,110.22,111.5,109.7303,3260724
