date,close,open,high,low
2023-11-13,4411.55,4406.66,4421.76,4393.82
2023-11-14,4495.7,4458.97,4508.67,4458.97
2023-11-15,4502.88,4505.3,4521.17,4495.31
2023-11-16,4508.24,4497.08,4511.99,4487.83
2023-11-17,4514.02,4509.55,4520.12,4499.66
2023-11-20,4547.38,4511.7,4557.11,4510.36
2023-11-21,4538.19,4538.77,4542.14,4525.51
2023-11-22,4556.62,4553.04,4568.43,4545.05
2023-11-24,4559.34,4555.84,4560.31,4552.8
2023-11-27,4550.43,4554.86,4560.52,4546.32
2023-11-28,4554.89,4545.55,4568.14,4540.51
2023-11-29,4550.58,4571.84,4587.64,4547.15
2023-11-30,4567.8,4554.87,4569.89,4537.24
2023-12-01,4594.63,4559.43,4599.39,4554.71
2023-12-04,4569.78,4564.37,4572.37,4546.72
2023-12-05,4567.18,4557.25,4578.56,4551.68
2023-12-06,4549.34,4586.23,4590.74,4546.5
2023-12-07,4585.59,4568.84,4590.92,4565.22
2023-12-08,4604.37,4576.2,4609.23,4574.06
2023-12-11,4622.44,4593.39,4623.71,4593.39
2023-12-12,4643.7,4618.3,4643.93,4608.09
2023-12-13,4707.09,4646.2,4709.69,4643.23
2023-12-14,4719.55,4721.04,4738.57,4694.34
2023-12-15,4719.19,4714.23,4725.53,4704.69
2023-12-18,4740.56,4725.58,4749.52,4725.58
2023-12-19,4768.37,4743.72,4768.69,4743.72
2023-12-20,4698.35,4764.73,4778.01,4697.82
2023-12-21,4746.75,4724.29,4748.71,4708.35
2023-12-22,4754.63,4753.92,4772.94,4736.77
2023-12-26,4774.75,4758.86,4784.72,4758.45
2023-12-27,4781.58,4773.45,4785.39,4768.9
2023-12-28,4783.35,4786.44,4793.3,4780.98
2023-12-29,4769.83,4782.88,4788.43,4751.99
2024-01-02,4742.83,4745.2,4754.33,4722.67
2024-01-03,4704.81,4725.07,4729.29,4699.71
2024-01-04,4688.68,4697.42,4726.78,4687.53
2024-01-05,4697.24,4690.57,4721.49,4682.11
2024-01-08,4763.54,4703.7,4764.54,4699.82
2024-01-09,4756.5,4741.93,4765.47,4730.35
2024-01-10,4783.45,4759.94,4790.8,4756.2
2024-01-11,4780.24,4792.13,4798.5,4739.58
2024-01-12,4783.83,4791.18,4802.4,4768.98
2024-01-16,4765.98,4772.35,4782.34,4747.12
2024-01-17,4739.21,4739.13,4744.23,4714.82
2024-01-18,4780.94,4760.1,4785.79,4740.57
2024-01-19,4839.81,4796.28,4842.07,4785.87
2024-01-22,4850.43,4853.42,4868.41,4844.05
2024-01-23,4864.6,4856.8,4866.48,4844.37
2024-01-24,4868.55,4888.56,4903.68,4865.94
2024-01-25,4894.16,4886.66,4898.15,4869.34
2024-01-26,4890.97,4888.91,4906.69,4881.47
2024-01-29,4927.93,4892.95,4929.31,4887.4
2024-01-30,4924.97,4925.89,4931.09,4916.27
2024-01-31,4845.65,4899.19,4906.75,4845.15
2024-02-01,4906.19,4861.11,4906.97,4853.52
2024-02-02,4958.61,4916.06,4975.29,4907.99
2024-02-05,4942.81,4957.19,4957.19,4918.09
2024-02-06,4954.23,4950.16,4957.77,4934.88
2024-02-07,4995.06,4973.05,4999.89,4969.05
2024-02-08,4997.91,4995.16,5000.4,4987.09
2024-02-09,5026.61,5004.17,5030.06,5000.34
2024-02-12,5021.84,5026.83,5048.39,5016.83
2024-02-13,4953.17,4967.94,4971.3,4920.31
2024-02-14,5000.62,4976.44,5002.52,4956.45
2024-02-15,5029.73,5003.14,5032.72,4999.44
2024-02-16,5005.57,5031.13,5038.7,4999.52
2024-02-20,4975.51,4989.32,4993.71,4955.02
2024-02-21,4981.8,4963.03,4983.21,4946.0
2024-02-22,5087.03,5038.83,5094.39,5038.83
2024-02-23,5088.8,5100.92,5111.06,5081.46
2024-02-26,5069.53,5093.0,5097.66,5068.91
2024-02-27,5078.18,5074.6,5080.69,5057.29
2024-02-28,5069.76,5067.2,5077.37,5058.35
2024-02-29,5096.27,5085.36,5104.99,5061.89
2024-03-01,5137.08,5098.51,5140.33,5094.16
2024-03-04,5130.95,5130.99,5149.67,5127.18
2024-03-05,5078.65,5110.52,5114.54,5056.82
2024-03-06,5104.76,5108.03,5127.97,5092.22
2024-03-07,5157.36,5132.38,5165.62,5128.21
2024-03-08,5123.69,5164.46,5189.26,5117.5
2024-03-11,5117.94,5111.96,5124.66,5091.14
2024-03-12,5175.27,5134.3,5179.87,5114.48
2024-03-13,5165.31,5173.49,5179.14,5151.88
2024-03-14,5150.48,5175.14,5176.85,5123.3
2024-03-15,5117.09,5123.31,5136.86,5104.35
2024-03-18,5149.42,5154.77,5175.6,5145.47
2024-03-19,5178.51,5139.09,5180.31,5131.59
2024-03-20,5224.62,5181.69,5226.19,5171.55
2024-03-21,5241.53,5253.43,5261.1,5240.66
2024-03-22,5234.18,5242.48,5246.09,5229.87
2024-03-25,5218.19,5219.52,5229.09,5216.09
2024-03-26,5203.58,5228.85,5235.16,5203.42
2024-03-27,5248.49,5226.31,5249.26,5213.92
2024-03-28,5254.35,5248.03,5264.85,5245.82
2024-04-01,5243.77,5257.97,5263.95,5229.2
2024-04-02,5205.81,5204.29,5208.34,5184.05
2024-04-03,5211.49,5194.37,5228.75,5194.37
2024-04-04,5147.21,5244.05,5256.59,5146.06
2024-04-05,5204.34,5158.95,5222.18,5157.21
2024-04-08,5202.39,5211.37,5219.57,5197.35
2024-04-09,5209.91,5217.03,5224.81,5160.78
2024-04-10,5160.64,5167.88,5178.43,5138.7
2024-04-11,5199.06,5172.95,5211.78,5138.77
2024-04-12,5123.41,5171.51,5175.03,5107.94
2024-04-15,5061.82,5149.67,5168.43,5052.47
2024-04-16,5051.41,5064.59,5079.84,5039.83
2024-04-17,5022.21,5068.97,5077.96,5007.25
2024-04-18,5011.12,5031.52,5056.66,5001.89
2024-04-19,4967.23,5005.44,5019.02,4953.56
2024-04-22,5010.6,4987.33,5038.84,4969.4
2024-04-23,5070.55,5028.85,5076.12,5027.96
2024-04-24,5071.63,5084.86,5089.48,5047.02
2024-04-25,5048.42,5019.88,5057.75,4990.58
2024-04-26,5099.96,5084.65,5114.62,5073.14
2024-04-29,5116.17,5114.13,5123.49,5088.65
2024-04-30,5035.69,5103.78,5110.83,5035.31
2024-05-01,5018.39,5029.03,5096.12,5013.45
2024-05-02,5064.2,5049.32,5073.21,5011.05
2024-05-03,5127.79,5122.78,5139.12,5101.22
2024-05-06,5180.74,5142.42,5181.0,5142.42
2024-05-07,5187.7,5187.2,5200.23,5178.96
2024-05-08,5187.67,5168.98,5191.95,5165.86
2024-05-09,5214.08,5189.03,5215.3,5180.41
2024-05-10,5222.68,5225.49,5239.66,5209.68
