date,open,high,low,close,adjusted_close,volume
2024-02-12,102.16,103.4,102.0,103.17,100.5866,18173061
2024-02-13,102.76,103.09,100.6,101.34,99.7207,18917430
2024-02-14,101.87,102.615,100.42,100.84,99.2287,17651250
2024-02-15,100.6,103.935,100.6,103.73,102.0725,23196311
2024-02-16,104.01,104.63,103.52,103.73,102.0725,20151430
2024-02-20,103.84,104.12,102.645,102.75,101.1081,17650010
2024-02-21,103.02,104.98,102.99,104.85,103.1746,20999189
2024-02-22,104.16,105.41,103.45,104.76,103.086,20470670
2024-02-23,103.88,104.09,102.88,103.84,102.1807,15975890
2024-02-26,103.72,104.935,103.05,104.25,102.5842,13360800
2024-02-27,104.68,105.15,103.85,104.03,102.3677,16359980
2024-02-28,104.47,105.43,104.0,104.32,102.6531,14810490
2024-02-29,104.675,105.07,104.215,104.52,102.8499,17566070
2024-03-01,105.72,106.39,105.375,105.84,104.1488,18460119
2024-03-04,105.66,105.85,104.03,104.36,102.6924,18137990
2024-03-05,104.53,106.27,104.32,105.64,103.952,19952711
2024-03-06,106.62,107.57,106.15,106.77,105.0639,20472789
2024-03-07,106.6,107.98,106.6,107.37,105.6543,15195410
2024-03-08,107.23,108.4,106.77,108.38,106.6482,16281470
2024-03-11,108.25,109.12,107.34,109.02,107.2779,17577289
2024-03-12,109.06,109.28,108.025,108.32,106.5891,14957250
2024-03-13,109.14,110.35,109.1101,109.53,107.7798,17122240
2024-03-14,109.83,111.55,109.69,111.47,109.6888,22121010
2024-03-15,110.85,112.3,110.85,111.27,109.492,38264398
2024-03-18,111.79,112.86,111.1,112.3,110.5055,16770461
2024-03-19,112.22,113.485,112.06,113.09,111.2829,14878760
2024-03-20,112.72,113.4,112.13,112.99,111.1845,16119700
2024-03-21,112.92,113.91,112.57,113.49,111.6765,14878020
2024-03-22,113.48,113.685,112.8239,113.49,111.6765,14701930
2024-03-25,113.83,115.775,113.83,114.65,112.818,14011730
2024-03-26,114.66,114.98,113.41,113.79,111.9717,13152290
2024-03-27,113.48,115.06,113.41,114.97,113.1329,12415670
2024-03-28,115.53,116.45,115.06,116.24,114.3826,18482061
2024-04-01,116.41,117.24,115.38,116.99,115.1206,13817000
2024-04-02,117.92,119.6,117.33,119.28,117.374,19919641
2024-04-03,119.48,119.7479,118.73,119.3,117.3937,16504311
2024-04-04,119.05,119.88,118.64,119.72,117.807,18467359
2024-04-05,119.98,122.15,119.64,121.37,119.4306,21720590
2024-04-08,121.08,121.735,120.205,120.55,118.6237,17513939
2024-04-09,121.0,121.6492,120.34,121.18,119.2436,14135720
2024-04-10,121.22,122.47,120.73,122.2,120.2473,17409180
2024-04-11,122.69,122.69,120.34,121.79,119.8439,17555869
2024-04-12,122.95,123.75,119.67,120.37,118.4466,21556221
2024-04-15,121.09,121.69,119.45,119.68,117.7676,15029530
2024-04-16,119.555,120.22,117.92,118.69,116.7934,18082230
2024-04-17,118.55,119.35,117.12,118.63,116.7344,14538580
2024-04-18,119.0,119.72,117.97,118.52,116.6261,13821360
2024-04-19,119.155,120.925,118.95,119.88,117.9644,21572369
2024-04-22,119.26,121.565,118.43,120.56,118.6335,16340690
2024-04-23,120.0,121.06,119.45,121.03,119.096,13929820
2024-04-24,120.3,121.255,119.39,121.05,119.1157,12101160
2024-04-25,121.03,121.76,119.4,121.33,119.3912,16041030
2024-04-26,119.0,119.1,116.22,117.96,116.0751,27289471
2024-04-29,117.76,120.05,117.76,119.64,117.7282,17343760
2024-04-30,119.11,120.2,117.98,118.27,116.3801,21083289
2024-05-01,118.28,118.47,115.66,116.03,114.1759,27789760
2024-05-02,116.26,117.26,115.9,116.24,114.3826,25513650
2024-05-03,116.0,116.07,114.13,116.0,114.1464,28023311
2024-05-06,116.67,118.34,116.4,116.75,114.8844,31401260
2024-05-07,117.28,117.58,115.93,116.17,114.3137,30121971
2024-05-08,115.71,116.9542,115.41,116.15,114.294,18957170
2024-05-09,116.2,118.53,116.19,118.44,116.5474,17563980
2024-05-10,118.54,118.66,117.58,117.96,116.0751,13648130
